Start Time:  05/05/2022 2:16:31 PM        Time Completed:  05/05/2022 2:55:07 PM    Elapsed Time:  00:38:35
Sample ID:     JH375-Bare_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.03 	 0.0000145335 	
 4599.99 	 0.0000281666 	
 4199.99 	 0.0000391059 	
 3800 	 0.0000493565 	
 3399.99 	 0.0000591751 	
 2999.99 	 0.0000702429 	
 2599.99 	 0.0000809941 	
 2200 	 0.0000926687 	
 1799.99 	 0.000101901 	
 1399.99 	 0.000114266 	
 999.988 	 0.000124003 	
 599.991 	 0.000134535 	
 199.988 	 0.000144763 	
 189.998 	 0.000146541 	
 180 	 0.000145515 	
 170 	 0.000145713 	
 159.995 	 0.000147294 	
 150.001 	 0.000146486 	
 139.998 	 0.000147049 	
 129.999 	 0.000147215 	
 120 	 0.000147097 	
 109.999 	 0.000146965 	
 100 	 0.000147764 	
 90.0009 	 0.000148212 	
 79.9977 	 0.000147524 	
 70.0002 	 0.000148382 	
 59.9983 	 0.00014883 	
 49.9995 	 0.000148584 	
 39.9993 	 0.000149233 	
 29.9977 	 0.000149776 	
 19.9975 	 0.000150814 	
 9.99662 	 0.000150084 	
-0.00160971 	 0.000149844 	
-10.0023 	 0.00015154 	
-20.0014 	 0.000151191 	
-30.0047 	 0.0001511 	
-40.0023 	 0.000150832 	
-50.0036 	 0.000151755 	
-60 	 0.000152362 	
-70.0002 	 0.000152373 	
-80.0008 	 0.000152058 	
-90.0015 	 0.000153251 	
-100.003 	 0.000153783 	
-110.001 	 0.000153224 	
-120 	 0.000152989 	
-130.001 	 0.000154715 	
-139.997 	 0.000153848 	
-150 	 0.000154972 	
-159.999 	 0.000155142 	
-170.002 	 0.000155045 	
-180.002 	 0.000154408 	
-190.003 	 0.000155104 	
-200.001 	 0.0001549 	
-600.009 	 0.000166271 	
-1000.01 	 0.00017684 	
-1400.01 	 0.00018723 	
-1800.01 	 0.000197815 	
-2200.02 	 0.000210268 	
-2600.02 	 0.000221823 	
-3000.01 	 0.000232342 	
-3400.02 	 0.000242307 	
-3800.01 	 0.000254704 	
-4200.02 	 0.000264937 	
-4600.01 	 0.000275089 	
-5000.02 	 0.000285701 	
-4600 	 0.000275522 	
-4199.99 	 0.000263139 	
-3800 	 0.000252694 	
-3400 	 0.000241676 	
-2999.99 	 0.000230459 	
-2600 	 0.00021959 	
-2199.98 	 0.000209694 	
-1799.99 	 0.000198303 	
-1399.99 	 0.000187666 	
-999.991 	 0.000176981 	
-599.984 	 0.000166459 	
-199.987 	 0.000155212 	
-189.996 	 0.000155276 	
-179.998 	 0.000154385 	
-169.998 	 0.000153712 	
-160.002 	 0.00015524 	
-150.002 	 0.000154163 	
-139.997 	 0.000154628 	
-130.001 	 0.000153744 	
-120 	 0.000153372 	
-109.998 	 0.000152476 	
-99.9991 	 0.000152341 	
-89.9986 	 0.000153269 	
-79.9991 	 0.000152303 	
-69.996 	 0.000151835 	
-60.0002 	 0.000151384 	
-49.9987 	 0.000150925 	
-39.9982 	 0.000150198 	
-29.9959 	 0.000150015 	
-20.0008 	 0.00015129 	
-9.9983 	 0.00015038 	
-0.000251408 	 0.000149755 	
 10.0006 	 0.000149573 	
 19.9981 	 0.000150226 	
 30.0037 	 0.000149652 	
 40.0041 	 0.00014923 	
 50.0013 	 0.000148754 	
 60.0008 	 0.00014808 	
 69.9996 	 0.000147238 	
 80.0023 	 0.000147351 	
 90.0002 	 0.000148081 	
 99.9999 	 0.000147142 	
 110 	 0.000146583 	
 120.001 	 0.000146154 	
 130 	 0.000146567 	
 140.003 	 0.00014641 	
 150.002 	 0.000146131 	
 160 	 0.000145818 	
 170 	 0.00014564 	
 180 	 0.000144647 	
 189.997 	 0.000144606 	
 200.005 	 0.000143728 	
 600.006 	 0.000134374 	
 1000.01 	 0.000121376 	
 1400.02 	 0.000111607 	
 1800.02 	 0.00010126 	
 2200.02 	 0.0000913843 	
 2600.02 	 0.0000782618 	
 3000.02 	 0.0000670251 	
 3400.02 	 0.0000578618 	
 3800.02 	 0.0000451082 	
 4200.02 	 0.0000328209 	
 4600.02 	 0.000024352 	
 5000.02 	 0.0000123145 	

	
	
