Start Time:  05/05/2022 1:35:00 PM        Time Completed:  05/05/2022 2:13:35 PM    Elapsed Time:  00:38:35
Sample ID:     JH375-Bare_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220505_JH375-Bare_IP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.02 	 0.0000244509 	
 4600 	 0.0000353715 	
 4200 	 0.0000470964 	
 3799.99 	 0.0000582259 	
 3399.99 	 0.0000683867 	
 2999.99 	 0.0000793569 	
 2599.99 	 0.000089483 	
 2199.99 	 0.000100928 	
 1799.99 	 0.000110611 	
 1399.99 	 0.000121043 	
 999.989 	 0.000131845 	
 599.989 	 0.000143025 	
 199.988 	 0.000152338 	
 189.996 	 0.000153526 	
 180 	 0.00015346 	
 170.001 	 0.000153619 	
 159.998 	 0.000153473 	
 149.998 	 0.000154137 	
 139.997 	 0.000154096 	
 129.996 	 0.000154356 	
 120.001 	 0.00015441 	
 110 	 0.000154545 	
 99.9997 	 0.000153878 	
 89.9997 	 0.00015532 	
 79.9988 	 0.000154835 	
 69.9975 	 0.000154969 	
 59.9984 	 0.000155395 	
 50.0014 	 0.000156183 	
 39.9966 	 0.000155417 	
 29.9974 	 0.000155368 	
 19.9984 	 0.000155606 	
 10.0016 	 0.000156902 	
-0.0000114493 	 0.000157259 	
-10.0028 	 0.000155926 	
-20.0014 	 0.000155983 	
-29.9994 	 0.000156612 	
-40.002 	 0.000156403 	
-49.9995 	 0.000157268 	
-60.0003 	 0.000156327 	
-70.0023 	 0.000157299 	
-79.9986 	 0.00015678 	
-90.0015 	 0.000157537 	
-100 	 0.000157119 	
-110.002 	 0.000159001 	
-120.002 	 0.000158442 	
-130.002 	 0.000158795 	
-139.999 	 0.000157889 	
-150 	 0.000159344 	
-160.001 	 0.000158032 	
-169.999 	 0.000159259 	
-180.003 	 0.000158452 	
-190.003 	 0.00015885 	
-200.001 	 0.000158635 	
-600.008 	 0.000170921 	
-1000.01 	 0.000180951 	
-1400.02 	 0.000192467 	
-1800.02 	 0.00020242 	
-2200.02 	 0.000212982 	
-2600.01 	 0.000225502 	
-3000.03 	 0.000236476 	
-3400.01 	 0.000248192 	
-3800.01 	 0.000255662 	
-4200.02 	 0.000267547 	
-4600.02 	 0.000280196 	
-5000.02 	 0.000290852 	
-4600 	 0.000278037 	
-4199.99 	 0.000267662 	
-3800 	 0.00025434 	
-3400 	 0.000244634 	
-2999.99 	 0.000233705 	
-2599.99 	 0.000222149 	
-2199.99 	 0.0002127 	
-1799.99 	 0.000201641 	
-1399.99 	 0.000190102 	
-999.989 	 0.000179243 	
-599.988 	 0.000169071 	
-199.989 	 0.000157911 	
-189.999 	 0.000158579 	
-179.995 	 0.000157441 	
-169.999 	 0.000157027 	
-159.997 	 0.00015624 	
-149.997 	 0.000156248 	
-139.998 	 0.000156674 	
-129.999 	 0.000156776 	
-119.999 	 0.000155555 	
-110.001 	 0.000155167 	
-99.9985 	 0.000155527 	
-89.9981 	 0.000156229 	
-79.9946 	 0.000154329 	
-69.9968 	 0.000153161 	
-59.993 	 0.00015399 	
-49.9996 	 0.000153814 	
-39.9972 	 0.000153427 	
-29.9973 	 0.00015269 	
-19.9985 	 0.000152599 	
-9.99934 	 0.000153209 	
-0.000623211 	 0.000151454 	
 9.99913 	 0.000151894 	
 19.9996 	 0.000151622 	
 30.0017 	 0.000151172 	
 40.0043 	 0.00015058 	
 50.0019 	 0.000149562 	
 60.0009 	 0.000149938 	
 70.0014 	 0.000149472 	
 80.0044 	 0.000149428 	
 89.9999 	 0.000149166 	
 100.004 	 0.00014857 	
 110 	 0.000148887 	
 120.001 	 0.000148658 	
 130 	 0.000146989 	
 140.002 	 0.000147652 	
 150.001 	 0.000147589 	
 160.004 	 0.000148024 	
 170.003 	 0.00014622 	
 180.001 	 0.000146465 	
 190.001 	 0.000146571 	
 200.003 	 0.000145814 	
 600.007 	 0.000135318 	
 1000.01 	 0.000124106 	
 1400.01 	 0.000113079 	
 1800.02 	 0.000103408 	
 2200.01 	 0.000092521 	
 2600.02 	 0.0000801805 	
 3000.02 	 0.0000699689 	
 3400.02 	 0.0000583455 	
 3800.01 	 0.0000479623 	
 4200.01 	 0.0000363978 	
 4600.02 	 0.0000265798 	
 5000.02 	 0.0000145404 	

	
	
