Start Time:  10/27/2021 4:22:00 PM        Time Completed:  10/27/2021 4:46:35 PM    Elapsed Time:  00:24:35
Sample ID:     Co3-Anneal00_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co3-Anneal00_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co3-Anneal00_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co3-Anneal00_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000069759 	
 13700 	-0.0000345305 	
 12400 	-0.00000254022 	
 11100 	 0.0000346352 	
 9799.99 	 0.0000662876 	
 8499.96 	 0.0000986102 	
 7199.96 	 0.000137397 	
 5899.96 	 0.000173306 	
 4599.96 	 0.00020724 	
 3299.96 	 0.000245777 	
 1999.96 	 0.000281571 	
 1699.97 	 0.000292498 	
 1399.98 	 0.000297638 	
 1099.98 	 0.000305311 	
 799.979 	 0.000314956 	
 499.982 	 0.000319937 	
 449.988 	 0.000321271 	
 399.993 	 0.000320888 	
 349.993 	 0.000321617 	
 299.998 	 0.000321681 	
 249.994 	 0.000321763 	
 199.99 	 0.000323756 	
 149.994 	 0.000322718 	
 99.9932 	 0.000320502 	
 49.995 	 0.000317418 	
-0.00905288 	 0.000296023 	
-50.0029 	 0.0000640727 	
-100.006 	 0.0000578174 	
-150.006 	 0.0000559299 	
-200.005 	 0.0000553673 	
-250.008 	 0.0000552541 	
-300.005 	 0.0000560655 	
-350.007 	 0.000055785 	
-400.006 	 0.0000552813 	
-450.007 	 0.0000564593 	
-500.007 	 0.0000578672 	
-800.012 	 0.0000627481 	
-1100.02 	 0.0000711251 	
-1400.02 	 0.0000795084 	
-1700.02 	 0.0000887547 	
-2000.02 	 0.0000954805 	
-3300.04 	 0.000134604 	
-4600.06 	 0.000170192 	
-5900.07 	 0.000198717 	
-7200.06 	 0.000243214 	
-8500.05 	 0.000277851 	
-9800.03 	 0.000315409 	
-11100 	 0.000344643 	
-12400 	 0.000380967 	
-13700 	 0.000416506 	
-15000 	 0.000451023 	
-13700 	 0.000415241 	
-12400 	 0.000380045 	
-11100 	 0.000345537 	
-9799.98 	 0.000311316 	
-8499.97 	 0.000275223 	
-7199.96 	 0.000243139 	
-5899.95 	 0.000203004 	
-4599.97 	 0.000164428 	
-3299.98 	 0.000129219 	
-1999.96 	 0.0000973335 	
-1699.97 	 0.0000860631 	
-1399.98 	 0.0000795974 	
-1099.97 	 0.0000711303 	
-799.978 	 0.0000629707 	
-499.983 	 0.0000592353 	
-449.991 	 0.0000551558 	
-399.992 	 0.000055159 	
-349.992 	 0.0000546344 	
-299.99 	 0.0000565147 	
-249.992 	 0.000054871 	
-199.993 	 0.0000541551 	
-149.995 	 0.0000559329 	
-99.9955 	 0.0000550107 	
-49.9964 	 0.0000601004 	
 0.00253592 	 0.0000800911 	
 50.009 	 0.000312849 	
 100.005 	 0.000317693 	
 150.007 	 0.000321039 	
 200.006 	 0.000322082 	
 250.003 	 0.000320741 	
 300.008 	 0.000320455 	
 350.008 	 0.000320456 	
 400 	 0.000320304 	
 450.004 	 0.000319593 	
 500.003 	 0.000319252 	
 800.01 	 0.000312139 	
 1100.02 	 0.000306627 	
 1400.01 	 0.000296713 	
 1700.02 	 0.000289067 	
 2000.02 	 0.000280811 	
 3300.04 	 0.00024205 	
 4600.05 	 0.000210802 	
 5900.07 	 0.000161689 	
 7200.06 	 0.000138314 	
 8500.06 	 0.000100483 	
 9800.03 	 0.0000602104 	
 11100 	 0.0000265069 	
 12400 	-0.00000541708 	
 13700 	-0.0000375049 	
 15000 	-0.0000727663 	

	
	
