Start Time:  10/27/2021 6:45:00 PM        Time Completed:  10/27/2021 7:09:40 PM    Elapsed Time:  00:24:40
Sample ID:     Co1-Anneal00_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co1-Anneal00_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211027_Co1-Anneal00_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211027_Co1-Anneal00_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000131264 	
 13700 	-0.000102736 	
 12400 	-0.0000762964 	
 11100 	-0.000053123 	
 9799.98 	-0.00001996 	
 8499.96 	 0.00000429096 	
 7199.96 	 0.000032436 	
 5899.96 	 0.0000638277 	
 4599.97 	 0.0000968867 	
 3299.95 	 0.000123666 	
 1999.96 	 0.000152081 	
 1699.98 	 0.000156676 	
 1399.98 	 0.000162481 	
 1099.98 	 0.000168528 	
 799.981 	 0.000176573 	
 499.981 	 0.000180462 	
 449.995 	 0.000182554 	
 399.994 	 0.000182846 	
 349.991 	 0.000183233 	
 299.992 	 0.000184123 	
 249.991 	 0.000183963 	
 199.988 	 0.000185314 	
 149.995 	 0.000185108 	
 99.994 	 0.000187343 	
 49.9946 	 0.000186819 	
-0.00708417 	 0.000188322 	
-50.0058 	 0.000187032 	
-100.009 	 0.000188262 	
-150.004 	 0.000190118 	
-200.004 	 0.000188734 	
-250.008 	 0.000188848 	
-300.006 	 0.000190642 	
-350.003 	 0.00019134 	
-400.005 	 0.000191923 	
-450.006 	 0.000192401 	
-500.003 	 0.000191936 	
-800.013 	 0.000197554 	
-1100.02 	 0.000203654 	
-1400.02 	 0.000209038 	
-1700.02 	 0.000217234 	
-2000.02 	 0.00022134 	
-3300.04 	 0.000248555 	
-4600.07 	 0.0002793 	
-5900.08 	 0.000311097 	
-7200.07 	 0.000343463 	
-8500.05 	 0.000368301 	
-9800.03 	 0.000394525 	
-11100 	 0.000423125 	
-12400 	 0.000447468 	
-13700 	 0.00047794 	
-15000 	 0.000506071 	
-13700 	 0.000477989 	
-12400 	 0.000451668 	
-11100 	 0.000422028 	
-9799.98 	 0.000395653 	
-8499.97 	 0.000365294 	
-7199.97 	 0.000338771 	
-5899.96 	 0.000308693 	
-4599.97 	 0.000277132 	
-3300 	 0.000249561 	
-1999.96 	 0.000220574 	
-1699.97 	 0.000215094 	
-1399.98 	 0.000207191 	
-1099.98 	 0.00020479 	
-799.975 	 0.000197642 	
-499.981 	 0.00019312 	
-449.992 	 0.000190982 	
-399.989 	 0.000190054 	
-349.992 	 0.000190136 	
-299.993 	 0.000189594 	
-249.995 	 0.000189553 	
-199.993 	 0.000188556 	
-149.991 	 0.00018694 	
-99.9956 	 0.000186113 	
-49.9917 	 0.000185669 	
 0.003247 	 0.000185763 	
 50.0063 	 0.000184715 	
 100.003 	 0.000185097 	
 150.002 	 0.000184911 	
 200.004 	 0.000184274 	
 250.008 	 0.00018434 	
 300.003 	 0.00018335 	
 350.004 	 0.000182684 	
 400.004 	 0.000180882 	
 450.008 	 0.00018086 	
 500.003 	 0.000180186 	
 800.008 	 0.000175084 	
 1100.02 	 0.000170517 	
 1400.01 	 0.000164152 	
 1700.02 	 0.000156879 	
 2000.02 	 0.00015017 	
 3300.04 	 0.000120121 	
 4600.06 	 0.0000885214 	
 5900.07 	 0.0000652377 	
 7200.06 	 0.0000179455 	
 8500.04 	-0.00000319916 	
 9800.04 	-0.0000212524 	
 11100 	-0.000051469 	
 12400 	-0.0000773462 	
 13700 	-0.000104901 	
 15000 	-0.000131024 	

	
	
