Start Time:  08/12/2021 10:58:08 AM       Time Completed:  08/12/2021 11:19:18 AM   Elapsed Time:  00:21:09
Sample ID:     JH316_HK004_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH316_HK004_IP_500G_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 499.997 	 0.00017431 	
 483.321 	 0.000174906 	
 466.675 	 0.000174861 	
 449.999 	 0.000173708 	
 433.335 	 0.000175394 	
 416.669 	 0.000177674 	
 400.013 	 0.000175811 	
 383.328 	 0.000177217 	
 366.67 	 0.0001784 	
 349.991 	 0.000178331 	
 333.33 	 0.000178358 	
 316.656 	 0.000177499 	
 299.993 	 0.000177852 	
 283.323 	 0.000180094 	
 266.663 	 0.000181086 	
 250.009 	 0.000180007 	
 233.329 	 0.000179994 	
 216.66 	 0.000180328 	
 199.999 	 0.000180372 	
 183.327 	 0.000182375 	
 166.663 	 0.000182517 	
 149.999 	 0.000185773 	
 133.329 	 0.000184512 	
 116.664 	 0.000181634 	
 99.9968 	 0.000181048 	
 83.3245 	 0.000183003 	
 66.6821 	 0.00018414 	
 49.9947 	 0.000184847 	
 33.3263 	 0.000185262 	
 16.664 	 0.000185361 	
 0.00942915 	 0.000186443 	
-16.6742 	 0.00018623 	
-33.3408 	 0.000188683 	
-50.0117 	 0.00018767 	
-66.6772 	 0.000186858 	
-83.3496 	 0.000188421 	
-100.005 	 0.000188673 	
-116.667 	 0.000189058 	
-133.332 	 0.000188616 	
-150.011 	 0.000189836 	
-166.679 	 0.000190754 	
-183.346 	 0.000190218 	
-200.004 	 0.000190814 	
-216.663 	 0.000190891 	
-233.336 	 0.000190197 	
-250.017 	 0.000192929 	
-266.662 	 0.000192547 	
-283.343 	 0.000194122 	
-300.004 	 0.000191716 	
-316.663 	 0.000195779 	
-333.349 	 0.000195786 	
-350.012 	 0.000194974 	
-366.663 	 0.000195101 	
-383.343 	 0.000195467 	
-400.008 	 0.000196714 	
-416.671 	 0.000197612 	
-433.343 	 0.00019552 	
-450.01 	 0.000197824 	
-466.679 	 0.000197122 	
-483.361 	 0.000199471 	
-499.998 	 0.000198621 	
-483.346 	 0.000198007 	
-466.671 	 0.00019608 	
-450.01 	 0.000198506 	
-433.324 	 0.000195388 	
-416.661 	 0.000196209 	
-400 	 0.000195883 	
-383.335 	 0.000194759 	
-366.67 	 0.000194278 	
-349.998 	 0.000192551 	
-333.339 	 0.000192917 	
-316.668 	 0.000192337 	
-300.009 	 0.00019278 	
-283.342 	 0.000193439 	
-266.672 	 0.000192814 	
-249.989 	 0.000192432 	
-233.337 	 0.000190227 	
-216.676 	 0.00019047 	
-199.995 	 0.00018949 	
-183.334 	 0.000190314 	
-166.673 	 0.000190528 	
-150.003 	 0.000189443 	
-133.332 	 0.000188279 	
-116.674 	 0.000188604 	
-100.011 	 0.000188638 	
-83.3337 	 0.000188202 	
-66.6692 	 0.000187688 	
-50.0095 	 0.000185796 	
-33.3323 	 0.000185647 	
-16.6671 	 0.000187362 	
 0.00740734 	 0.000183935 	
 16.6673 	 0.000184244 	
 33.3326 	 0.000184394 	
 49.9956 	 0.000183445 	
 66.6423 	 0.000184799 	
 83.3123 	 0.00018378 	
 99.9916 	 0.000183106 	
 116.664 	 0.000182315 	
 133.332 	 0.000183679 	
 149.996 	 0.000184254 	
 166.671 	 0.000181926 	
 183.322 	 0.000180512 	
 200 	 0.000181434 	
 216.661 	 0.000180777 	
 233.317 	 0.000178487 	
 250.003 	 0.000180841 	
 266.656 	 0.000178616 	
 283.333 	 0.000178753 	
 300.005 	 0.000179311 	
 316.663 	 0.000178212 	
 333.336 	 0.000177439 	
 349.999 	 0.000177208 	
 366.661 	 0.000177328 	
 383.331 	 0.000176819 	
 399.992 	 0.000177057 	
 416.659 	 0.000177401 	
 433.328 	 0.00017451 	
 450.006 	 0.000175021 	
 466.668 	 0.000175266 	
 483.326 	 0.000174121 	
 500.002 	 0.000173364 	

	
	
