Start Time:  08/12/2021 1:33:05 PM        Time Completed:  08/12/2021 1:53:10 PM    Elapsed Time:  00:20:04
Sample ID:     JH315_HK003_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210812_JH315_HK003_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000139211 	
 13700 	-0.000108934 	
 12400 	-0.0000787788 	
 11100 	-0.0000495819 	
 9799.98 	-0.0000129465 	
 8499.96 	 0.0000125936 	
 7199.96 	 0.0000457228 	
 5899.96 	 0.000080722 	
 4599.96 	 0.000111945 	
 3299.95 	 0.000148301 	
 1999.96 	 0.000178564 	
 1699.97 	 0.000186444 	
 1399.98 	 0.000197743 	
 1099.98 	 0.000205099 	
 799.98 	 0.000212934 	
 499.981 	 0.000222513 	
 399.983 	 0.000222235 	
 299.987 	 0.000227387 	
 199.982 	 0.000230493 	
 99.9887 	 0.000230876 	
-0.0123097 	 0.000211321 	
-100.013 	 0.000196095 	
-200.013 	 0.000197954 	
-300.012 	 0.000200328 	
-400.011 	 0.000203701 	
-500.012 	 0.000206418 	
-800.015 	 0.00021317 	
-1100.02 	 0.000220558 	
-1400.02 	 0.000232116 	
-1700.02 	 0.000240574 	
-2000.02 	 0.000245775 	
-3300.04 	 0.000286848 	
-4600.05 	 0.000313665 	
-5900.06 	 0.000351175 	
-7200.07 	 0.000384234 	
-8500.06 	 0.00041096 	
-9800.03 	 0.000443043 	
-11100 	 0.000470545 	
-12400 	 0.000504818 	
-13700 	 0.000538949 	
-15000 	 0.000567666 	
-13700 	 0.0005401 	
-12400 	 0.000506065 	
-11100 	 0.000476618 	
-9799.98 	 0.000450691 	
-8499.97 	 0.000412685 	
-7199.95 	 0.000380286 	
-5899.96 	 0.000348945 	
-4599.97 	 0.000312622 	
-3299.99 	 0.000282109 	
-1999.96 	 0.000250169 	
-1699.97 	 0.000237736 	
-1399.98 	 0.000228784 	
-1099.98 	 0.000220566 	
-799.978 	 0.000216802 	
-499.981 	 0.000205892 	
-399.988 	 0.000203897 	
-299.992 	 0.000202945 	
-199.99 	 0.000200044 	
-99.9869 	 0.000196279 	
 0.0124477 	 0.000214288 	
 100.01 	 0.000233249 	
 200.006 	 0.000230169 	
 300.007 	 0.000227131 	
 400.008 	 0.000225475 	
 500.01 	 0.000222764 	
 800.016 	 0.000214088 	
 1100.01 	 0.000206203 	
 1400.02 	 0.000199628 	
 1700.01 	 0.000188663 	
 2000.02 	 0.000181016 	
 3300.04 	 0.000144932 	
 4600.06 	 0.000109161 	
 5900.08 	 0.0000780773 	
 7200.07 	 0.000045123 	
 8500.05 	 0.0000139463 	
 9800.02 	-0.0000271161 	
 11100 	-0.0000516817 	
 12400 	-0.0000789601 	
 13700 	-0.00011068 	
 15000 	-0.000143324 	

	
	
