Start Time:  03/23/2022 2:46:27 PM        Time Completed:  03/23/2022 3:02:24 PM    Elapsed Time:  00:15:56
Sample ID:     HK020_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.0000819343 	
 900.001 	 0.0000851195 	
 800 	 0.0000882383 	
 700.003 	 0.0000921035 	
 599.999 	 0.000094968 	
 500.001 	 0.0000986363 	
 424.998 	 0.000099383 	
 349.999 	 0.000101935 	
 274.998 	 0.000104906 	
 199.998 	 0.000107574 	
 174.997 	 0.000107972 	
 149.999 	 0.000108028 	
 125.001 	 0.000109964 	
 99.998 	 0.000110647 	
 74.9984 	 0.000110204 	
 49.997 	 0.000111976 	
 24.9999 	 0.000112386 	
 0.0000836567 	 0.000112993 	
-25.001 	 0.000111918 	
-50.0023 	 0.000097855 	
-75.0025 	 0.0000990741 	
-100.004 	 0.0000988946 	
-124.998 	 0.0000924818 	
-150.006 	-0.000174505 	
-174.996 	-0.000197548 	
-200.002 	-0.000211629 	
-275 	-0.000211265 	
-350.004 	-0.000209626 	
-425.004 	-0.000207997 	
-499.999 	-0.000208053 	
-600 	-0.000201496 	
-700.004 	-0.000201184 	
-800.007 	-0.00019765 	
-900.007 	-0.000193844 	
-1000.01 	-0.00019202 	
-900.001 	-0.000194922 	
-800 	-0.000197591 	
-699.998 	-0.00019996 	
-600.004 	-0.000201556 	
-499.999 	-0.000204643 	
-425.001 	-0.000205878 	
-349.993 	-0.000207407 	
-275.001 	-0.000210448 	
-199.997 	-0.000211042 	
-174.994 	-0.000212152 	
-150.003 	-0.00021333 	
-124.998 	-0.000213539 	
-100.001 	-0.000213041 	
-75.0023 	-0.000213458 	
-50.0002 	-0.000214116 	
-24.998 	-0.000213677 	
 0.000790489 	-0.000214528 	
 25.0035 	-0.000213138 	
 50.0017 	-0.000198366 	
 75.0013 	-0.000199185 	
 100 	-0.000198405 	
 125.005 	-0.000196964 	
 149.999 	 0.0000709596 	
 175.004 	 0.0000969294 	
 200.005 	 0.000110889 	
 275.003 	 0.000112842 	
 350.005 	 0.000112301 	
 425.002 	 0.000110139 	
 500.005 	 0.000109577 	
 600.008 	 0.00010672 	
 700.002 	 0.000104015 	
 799.999 	 0.000101464 	
 900.005 	 0.0000975863 	
 1000 	 0.0000956943 	

	
	
