Start Time:  03/23/2022 2:29:41 PM        Time Completed:  03/23/2022 2:46:09 PM    Elapsed Time:  00:16:27
Sample ID:     HK020_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.000128208 	
 900.001 	-0.000108119 	
 799.999 	-0.0000930337 	
 700.004 	-0.0000765719 	
 599.997 	-0.0000631517 	
 500.001 	-0.0000502538 	
 424.995 	-0.0000391126 	
 349.998 	-0.0000289241 	
 275.002 	-0.0000192104 	
 199.996 	-0.0000102686 	
 174.998 	-0.00000278657 	
 150 	 0.00000312944 	
 125 	 0.00000925868 	
 99.9992 	 0.0000158371 	
 74.994 	 0.0000197347 	
 50.0021 	 0.0000262414 	
 25.0014 	 0.0000301837 	
-0.00208503 	 0.0000330548 	
-25.0025 	 0.0000359786 	
-49.9999 	 0.0000254243 	
-74.9983 	 0.0000282701 	
-99.9973 	 0.0000327862 	
-125 	 0.0000238588 	
-149.998 	-0.000236474 	
-174.999 	-0.000257024 	
-200 	-0.000268582 	
-275.002 	-0.000265897 	
-350 	-0.000263842 	
-424.998 	-0.000258776 	
-500.005 	-0.000254808 	
-600 	-0.000249176 	
-700.001 	-0.00024674 	
-800.007 	-0.000241266 	
-900.009 	-0.000236727 	
-1000.01 	-0.000233013 	
-899.997 	-0.000231852 	
-800.005 	-0.00023605 	
-699.997 	-0.000236537 	
-599.999 	-0.000238559 	
-499.996 	-0.000238771 	
-424.997 	-0.000239167 	
-349.997 	-0.000240393 	
-274.999 	-0.000240132 	
-200 	-0.000241109 	
-175.001 	-0.000240505 	
-149.997 	-0.000240815 	
-124.997 	-0.000241039 	
-100.001 	-0.000240328 	
-75.0004 	-0.000238894 	
-49.9958 	-0.000239985 	
-25.0014 	-0.000238259 	
 0.00216176 	-0.000237817 	
 25.0013 	-0.000234522 	
 50.0004 	-0.000221203 	
 75.0001 	-0.000221262 	
 100.003 	-0.000218978 	
 125.005 	-0.000216711 	
 150 	 0.0000519481 	
 174.998 	 0.0000786481 	
 200.001 	 0.0000939381 	
 274.999 	 0.0000963771 	
 350.003 	 0.0000949823 	
 425.005 	 0.0000944631 	
 500.003 	 0.0000903957 	
 600.003 	 0.0000905503 	
 700.004 	 0.0000881917 	
 800.006 	 0.0000850666 	
 900.007 	 0.0000850099 	
 1000 	 0.0000801416 	

	
	
