Start Time:  03/23/2022 3:03:32 PM        Time Completed:  03/23/2022 3:19:28 PM    Elapsed Time:  00:15:56
Sample ID:     HK020_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220323_HK020_OOP_1kG_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.0000967437 	
 900.002 	 0.0000992164 	
 800.002 	 0.000102639 	
 699.999 	 0.000104832 	
 600.001 	 0.000107564 	
 500.001 	 0.000109893 	
 424.995 	 0.000112424 	
 350.003 	 0.000114326 	
 274.999 	 0.000115047 	
 199.999 	 0.000116755 	
 174.998 	 0.000119058 	
 149.999 	 0.000118683 	
 125.001 	 0.000119139 	
 99.9989 	 0.000120735 	
 74.9986 	 0.000120915 	
 49.9981 	 0.000120454 	
 24.9996 	 0.00012057 	
 0.00017221 	 0.000123422 	
-25.0027 	 0.000118746 	
-50 	 0.000105216 	
-75.0006 	 0.0001057 	
-100.002 	 0.000105541 	
-125 	 0.000103043 	
-150.002 	-0.000165517 	
-174.997 	-0.000188882 	
-199.998 	-0.000204099 	
-275.001 	-0.000204079 	
-350.001 	-0.000202766 	
-425.005 	-0.000200723 	
-500.003 	-0.000198028 	
-600.003 	-0.000196662 	
-700.003 	-0.000193469 	
-800.009 	-0.000191466 	
-900.008 	-0.000187952 	
-1000 	-0.000186086 	
-900.004 	-0.000188059 	
-799.998 	-0.000190932 	
-700.003 	-0.000193154 	
-600.001 	-0.000196819 	
-499.997 	-0.000199397 	
-424.996 	-0.000200593 	
-349.999 	-0.000202323 	
-274.996 	-0.000204059 	
-199.996 	-0.000205191 	
-175.002 	-0.000206898 	
-149.996 	-0.000207568 	
-125 	-0.000207388 	
-99.9957 	-0.00020853 	
-75.0015 	-0.000210451 	
-49.9942 	-0.000209484 	
-24.9978 	-0.000209487 	
 0.00449053 	-0.000209444 	
 24.998 	-0.000208077 	
 50.0029 	-0.00019489 	
 75.0014 	-0.000195169 	
 99.9992 	-0.000193487 	
 124.999 	-0.000193376 	
 149.998 	 0.000071834 	
 175.001 	 0.0000997342 	
 200.006 	 0.000114975 	
 275.002 	 0.000118333 	
 350.004 	 0.000114532 	
 425.007 	 0.000113593 	
 500.001 	 0.000112281 	
 600.002 	 0.00010957 	
 700.002 	 0.000106718 	
 800.004 	 0.000103929 	
 900 	 0.000101497 	
 1000 	 0.0000988756 	

	
	
