Start Time:  03/23/2022 2:10:07 PM        Time Completed:  03/23/2022 2:26:02 PM    Elapsed Time:  00:15:54
Sample ID:     HK019_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK019_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220323_HK019_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220323_HK019_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.0000980061 	
 900 	 0.00010068 	
 799.999 	 0.000103998 	
 700.001 	 0.000106122 	
 600.002 	 0.000109373 	
 499.999 	 0.000111637 	
 425 	 0.000113861 	
 349.998 	 0.000116656 	
 275.001 	 0.000117866 	
 200 	 0.000119466 	
 175.003 	 0.000120823 	
 149.999 	 0.000119894 	
 124.999 	 0.000121454 	
 99.9996 	 0.000123707 	
 74.9977 	 0.000123186 	
 50.0013 	 0.000123337 	
 25.0006 	 0.000124761 	
 0.00102322 	 0.000123577 	
-25.0024 	 0.000123209 	
-50.0027 	 0.000105327 	
-75.0037 	 0.000103089 	
-99.9991 	 0.000103992 	
-125.004 	-0.000148708 	
-150.002 	-0.000180608 	
-175.001 	-0.000200224 	
-200.006 	-0.00020888 	
-275.003 	-0.000207117 	
-350.007 	-0.000204795 	
-425.006 	-0.000202226 	
-500.003 	-0.000202108 	
-600.002 	-0.000198505 	
-700.002 	-0.000196935 	
-800.008 	-0.0001926 	
-900.005 	-0.000191182 	
-1000.01 	-0.00018807 	
-900.001 	-0.000191863 	
-800.001 	-0.000193024 	
-700.002 	-0.00019786 	
-599.997 	-0.00019916 	
-499.999 	-0.000201376 	
-425 	-0.000202918 	
-349.998 	-0.00020487 	
-274.996 	-0.000206579 	
-199.99 	-0.000207787 	
-174.999 	-0.000210014 	
-149.996 	-0.000211071 	
-124.996 	-0.00021024 	
-100 	-0.000211996 	
-74.9946 	-0.000212356 	
-49.9986 	-0.000211228 	
-24.9999 	-0.000211963 	
 0.000327888 	-0.000212776 	
 25.0015 	-0.000212528 	
 50.0012 	-0.000192774 	
 75.0029 	-0.000192518 	
 100.001 	-0.000193998 	
 125.002 	 0.0000521564 	
 150.002 	 0.0000906182 	
 174.999 	 0.00011146 	
 200.001 	 0.000119237 	
 275.002 	 0.000119234 	
 350.001 	 0.000117326 	
 425.006 	 0.000116098 	
 500.001 	 0.000113598 	
 600.004 	 0.000110615 	
 700.005 	 0.000108305 	
 800.003 	 0.000105758 	
 900.002 	 0.000102088 	
 1000.01 	 0.000099944 	

	
	
