Start Time:  09/17/2021 8:01:00 PM        Time Completed:  09/17/2021 8:21:06 PM    Elapsed Time:  00:20:06
Sample ID:     Co1_OOP_1p5T_1p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210917_Co1_OOP_1p5T_1p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210917_Co1_OOP_1p5T_1p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210917_Co1_OOP_1p5T_1p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.00029393 	
 13700 	-0.000252897 	
 12400 	-0.000212948 	
 11100 	-0.000177042 	
 9799.98 	-0.000137369 	
 8499.96 	-0.0000928747 	
 7199.96 	-0.0000490463 	
 5899.96 	-0.0000068186 	
 4599.97 	 0.0000295843 	
 3299.94 	 0.0000765905 	
 1999.96 	 0.000122604 	
 1699.98 	 0.0001346 	
 1399.98 	 0.00014318 	
 1099.97 	 0.000153134 	
 799.977 	 0.000164917 	
 499.978 	 0.00017337 	
 399.99 	 0.000179271 	
 299.987 	 0.000182017 	
 199.992 	 0.000185113 	
 99.9918 	 0.000189116 	
-0.00984824 	 0.000176442 	
-100.009 	 0.000165788 	
-200.011 	 0.000169685 	
-300.009 	 0.000173215 	
-400.013 	 0.000177084 	
-500.008 	 0.000180348 	
-800.019 	 0.000190192 	
-1100.02 	 0.000203216 	
-1400.02 	 0.0002116 	
-1700.02 	 0.000221919 	
-2000.02 	 0.000233048 	
-3300.05 	 0.000280225 	
-4600.05 	 0.000318822 	
-5900.06 	 0.000361602 	
-7200.07 	 0.0003926 	
-8500.05 	 0.000455112 	
-9800.02 	 0.00048664 	
-11100 	 0.000524048 	
-12400 	 0.000569628 	
-13700 	 0.000607222 	
-15000 	 0.000648527 	
-13700 	 0.00060605 	
-12400 	 0.000570449 	
-11100 	 0.000531133 	
-9799.99 	 0.000490504 	
-8499.97 	 0.000452338 	
-7199.96 	 0.000412561 	
-5899.97 	 0.000365488 	
-4599.96 	 0.000326203 	
-3299.98 	 0.000278004 	
-1999.97 	 0.000235271 	
-1699.98 	 0.000223851 	
-1399.98 	 0.000218126 	
-1099.98 	 0.000206219 	
-799.979 	 0.000197373 	
-499.98 	 0.00018714 	
-399.988 	 0.000184455 	
-299.99 	 0.000180053 	
-199.989 	 0.000176758 	
-99.9871 	 0.000175669 	
 0.0100329 	 0.000184144 	
 100.014 	 0.000196213 	
 200.009 	 0.000194103 	
 300.01 	 0.000190974 	
 400.006 	 0.000189191 	
 500.01 	 0.000185376 	
 800.016 	 0.000175913 	
 1100.02 	 0.000164264 	
 1400.02 	 0.000154926 	
 1700.02 	 0.000144344 	
 2000.02 	 0.000135778 	
 3300.04 	 0.0000900127 	
 4600.05 	 0.0000558724 	
 5900.06 	 0.00000357468 	
 7200.07 	-0.0000359497 	
 8500.04 	-0.0000764658 	
 9800.02 	-0.00011223 	
 11100 	-0.000158449 	
 12400 	-0.00020112 	
 13700 	-0.000236235 	
 15000 	-0.000277517 	

	
	
