Start Time:  03/08/2022 10:30:00 AM       Time Completed:  03/08/2022 10:45:51 AM   Elapsed Time:  00:15:51
Sample ID:     HK016_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.000252352 	
 900.002 	 0.000254472 	
 800.002 	 0.000254474 	
 699.999 	 0.0002586 	
 599.993 	 0.000261503 	
 499.998 	 0.000263473 	
 425 	 0.00026555 	
 350.001 	 0.000265796 	
 274.999 	 0.000270273 	
 199.999 	 0.000269489 	
 174.999 	 0.000270806 	
 149.995 	 0.000272067 	
 125 	 0.000272463 	
 100.001 	 0.000272041 	
 74.9968 	 0.000272458 	
 49.9996 	 0.000273534 	
 24.9947 	 0.000275491 	
 0.000289801 	 0.000275878 	
-25.0018 	 0.000274481 	
-50.0016 	 0.000252156 	
-74.9993 	 0.000228085 	
-99.9994 	 0.0000296243 	
-124.997 	-0.00000857898 	
-150.005 	-0.000035751 	
-175 	-0.0000631242 	
-199.999 	-0.0000851797 	
-275.003 	-0.0000895988 	
-350 	-0.0000887607 	
-425.002 	-0.0000855904 	
-500.001 	-0.0000848871 	
-600.001 	-0.0000841776 	
-700.003 	-0.0000781645 	
-800.003 	-0.0000772327 	
-900.001 	-0.0000791993 	
-1000.01 	-0.0000726194 	
-899.996 	-0.000074068 	
-799.997 	-0.000076671 	
-699.998 	-0.0000795677 	
-600.001 	-0.0000792922 	
-499.998 	-0.0000818456 	
-424.995 	-0.0000830393 	
-350 	-0.0000850236 	
-275 	-0.00008455 	
-199.997 	-0.0000873549 	
-175.003 	-0.000089214 	
-150 	-0.0000878786 	
-125.002 	-0.0000888478 	
-99.9963 	-0.0000891954 	
-74.9972 	-0.0000881906 	
-50.0015 	-0.0000885091 	
-24.9926 	-0.0000870256 	
 0.000749146 	-0.000089076 	
 25.0026 	-0.0000872874 	
 49.9988 	-0.0000638314 	
 74.9998 	-0.0000546817 	
 100.004 	 0.000154533 	
 125.005 	 0.000192339 	
 150.001 	 0.000222029 	
 174.999 	 0.000249157 	
 200.001 	 0.00027373 	
 275.004 	 0.000281071 	
 350.001 	 0.000279347 	
 425.004 	 0.00027749 	
 500.003 	 0.000275976 	
 600.002 	 0.000274711 	
 700.004 	 0.000270755 	
 800.004 	 0.000270414 	
 900.001 	 0.000268272 	
 1000 	 0.000267482 	

	
	
