Start Time:  03/08/2022 9:59:54 AM        Time Completed:  03/08/2022 10:15:45 AM   Elapsed Time:  00:15:50
Sample ID:     HK015_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.000239653 	
 899.997 	 0.000234553 	
 799.998 	 0.000228926 	
 699.999 	 0.000220136 	
 600 	 0.000210048 	
 499.997 	 0.000199244 	
 424.997 	 0.000188965 	
 349.998 	 0.000178883 	
 275.001 	 0.000167783 	
 199.999 	 0.000155761 	
 174.995 	 0.000151745 	
 149.997 	 0.000147304 	
 125 	 0.000142727 	
 100.001 	 0.000140355 	
 74.9983 	 0.000134192 	
 49.9983 	 0.000130805 	
 24.9999 	 0.000124173 	
 0.000397083 	 0.000117646 	
-24.9997 	 0.000103706 	
-49.9994 	 0.0000953419 	
-75.0029 	 0.0000891531 	
-99.9983 	 0.0000859179 	
-125 	 0.0000823956 	
-150 	 0.000077067 	
-174.998 	 0.0000721934 	
-200.002 	 0.0000677391 	
-275.005 	 0.0000528523 	
-350.003 	 0.000042325 	
-425.006 	 0.0000293796 	
-500.003 	 0.0000161655 	
-600.004 	 0.00000304983 	
-700.001 	-0.0000115812 	
-800.003 	-0.0000227152 	
-900.003 	-0.0000305624 	
-1000 	-0.0000357978 	
-899.999 	-0.0000305158 	
-800.001 	-0.0000241658 	
-700.003 	-0.0000131147 	
-600.001 	-0.00000320585 	
-500 	 0.00000908588 	
-424.998 	 0.0000185308 	
-349.998 	 0.0000298449 	
-274.999 	 0.0000427703 	
-199.997 	 0.0000549305 	
-174.997 	 0.0000606941 	
-149.998 	 0.0000655086 	
-125.002 	 0.0000702211 	
-100.002 	 0.0000746659 	
-75.004 	 0.0000813606 	
-49.9971 	 0.0000865802 	
-24.9976 	 0.0000941127 	
 0.00274012 	 0.000100189 	
 25.0018 	 0.000114014 	
 50.0001 	 0.000124706 	
 75.0008 	 0.000131262 	
 100 	 0.00013796 	
 125.001 	 0.000142498 	
 150.002 	 0.000146548 	
 175 	 0.000152948 	
 200.002 	 0.00015775 	
 275.003 	 0.00017342 	
 350.001 	 0.000186504 	
 425.004 	 0.000200264 	
 500.002 	 0.000212984 	
 600.004 	 0.000228888 	
 700.002 	 0.000242987 	
 800.008 	 0.000255934 	
 900.007 	 0.000263905 	
 1000 	 0.00026975 	

	
	
