Start Time:  03/08/2022 10:51:55 AM       Time Completed:  03/08/2022 11:07:46 AM   Elapsed Time:  00:15:50
Sample ID:     HK016_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.000275878 	
 900.001 	 0.000277251 	
 799.999 	 0.000279335 	
 699.997 	 0.000283263 	
 600.001 	 0.000284219 	
 499.998 	 0.000286771 	
 424.996 	 0.000289284 	
 350.004 	 0.000290504 	
 274.997 	 0.000291672 	
 199.996 	 0.00029545 	
 174.998 	 0.000294603 	
 149.996 	 0.000295477 	
 124.997 	 0.000297445 	
 99.9995 	 0.000297038 	
 74.9993 	 0.000298455 	
 49.9984 	 0.000298107 	
 25.0003 	 0.000299237 	
-0.00357593 	 0.000298208 	
-25.0024 	 0.000297817 	
-50.0009 	 0.000277644 	
-75.0018 	 0.00025586 	
-100.002 	 0.0000531956 	
-124.999 	 0.0000166566 	
-150.003 	-0.0000103333 	
-174.999 	-0.0000381741 	
-200.003 	-0.0000602632 	
-274.999 	-0.0000649553 	
-350.004 	-0.0000620363 	
-425.005 	-0.0000606883 	
-500.003 	-0.0000591994 	
-600 	-0.0000572778 	
-700.008 	-0.0000542822 	
-800.007 	-0.0000494536 	
-900.007 	-0.0000481001 	
-1000 	-0.000045339 	
-899.995 	-0.0000471312 	
-799.998 	-0.0000503428 	
-699.998 	-0.0000518695 	
-600 	-0.0000553582 	
-499.998 	-0.0000570044 	
-424.996 	-0.0000575149 	
-350 	-0.0000599107 	
-274.995 	-0.0000588756 	
-199.994 	-0.0000611138 	
-174.998 	-0.0000616794 	
-149.995 	-0.0000607423 	
-124.996 	-0.0000614497 	
-99.9991 	-0.0000617564 	
-74.9982 	-0.0000623612 	
-49.9951 	-0.0000629434 	
-24.9981 	-0.0000616413 	
 0.00301458 	-0.0000619066 	
 25.0012 	-0.0000612263 	
 50.0022 	-0.0000387685 	
 75.0014 	-0.0000282091 	
 100 	 0.000181513 	
 125.002 	 0.000221216 	
 150.001 	 0.000249301 	
 175.004 	 0.000276868 	
 199.998 	 0.000298809 	
 275.001 	 0.00030787 	
 350 	 0.000305225 	
 425.003 	 0.000303794 	
 500.003 	 0.000302766 	
 600 	 0.000300741 	
 700.004 	 0.000298845 	
 800.003 	 0.000297111 	
 900 	 0.000295033 	
 1000 	 0.00029373 	

	
	
