Start Time:  03/08/2022 11:08:23 AM       Time Completed:  03/08/2022 11:24:55 AM   Elapsed Time:  00:16:31
Sample ID:     HK016_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220308_HK016_OOP_1kG_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	 0.000295204 	
 900.001 	 0.000296405 	
 800.001 	 0.000299229 	
 700.002 	 0.000301751 	
 599.999 	 0.000304572 	
 500.001 	 0.000306852 	
 425 	 0.000309113 	
 349.996 	 0.000310891 	
 274.997 	 0.000313169 	
 200.002 	 0.000314961 	
 175 	 0.000314037 	
 150 	 0.000316951 	
 124.995 	 0.000315967 	
 99.9987 	 0.0003171 	
 75.0001 	 0.00031791 	
 49.9974 	 0.000319415 	
 25.001 	 0.000319531 	
-0.00113282 	 0.000320213 	
-25.0009 	 0.00031723 	
-50.0011 	 0.000295752 	
-75.0015 	 0.000273636 	
-99.9992 	 0.0000733195 	
-124.996 	 0.0000359458 	
-150.001 	 0.00000878288 	
-175 	-0.0000184483 	
-199.999 	-0.0000400241 	
-275.002 	-0.0000464869 	
-350.003 	-0.0000428978 	
-425.008 	-0.00004281 	
-500.002 	-0.0000411358 	
-600.003 	-0.0000379846 	
-700.004 	-0.000035573 	
-800.003 	-0.0000326202 	
-900.004 	-0.0000324354 	
-1000.01 	-0.0000284661 	
-899.997 	-0.0000311971 	
-800 	-0.000033254 	
-699.999 	-0.0000357679 	
-600.001 	-0.0000357304 	
-500.001 	-0.0000386807 	
-424.998 	-0.0000395784 	
-350.003 	-0.0000426284 	
-274.995 	-0.0000430441 	
-199.997 	-0.0000435918 	
-175 	-0.0000442427 	
-150.001 	-0.0000443107 	
-125 	-0.0000449789 	
-100 	-0.0000454737 	
-75.0044 	-0.0000460112 	
-49.9944 	-0.0000448814 	
-24.9987 	-0.0000441345 	
 0.00442608 	-0.0000447277 	
 25 	-0.0000436762 	
 49.9999 	-0.0000225815 	
 75.0014 	-0.0000108229 	
 100.001 	 0.000198383 	
 125 	 0.000237017 	
 150 	 0.000266528 	
 175.002 	 0.000293288 	
 200 	 0.000318177 	
 275 	 0.000325288 	
 350 	 0.000322915 	
 425.002 	 0.000322476 	
 500.006 	 0.000319268 	
 600.004 	 0.000317053 	
 700.005 	 0.000316764 	
 800.004 	 0.000313771 	
 900.007 	 0.000313099 	
 1000 	 0.000309927 	

	
	
