Start Time:  03/25/2022 10:23:00 AM       Time Completed:  03/25/2022 10:38:54 AM   Elapsed Time:  00:15:54
Sample ID:     HK021-Cap_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.000312991 	
 900.001 	-0.000304007 	
 800.001 	-0.00029637 	
 699.999 	-0.000286847 	
 599.999 	-0.000279274 	
 499.999 	-0.000271586 	
 424.999 	-0.00026535 	
 350 	-0.000257801 	
 275.001 	-0.000250705 	
 199.996 	-0.000243628 	
 174.998 	-0.000239533 	
 150.002 	-0.000233897 	
 124.999 	-0.000229382 	
 100 	-0.0002241 	
 74.9985 	-0.000220352 	
 49.9981 	-0.000215409 	
 25.0002 	-0.000211265 	
-0.000968936 	-0.00020803 	
-25.0011 	-0.00021144 	
-49.9979 	-0.000208662 	
-75.0043 	-0.00020467 	
-100.004 	-0.000222685 	
-125 	-0.00038941 	
-150.002 	-0.000417852 	
-174.999 	-0.00043729 	
-200.004 	-0.000438627 	
-275.002 	-0.000435693 	
-350.004 	-0.000428965 	
-425.001 	-0.000423373 	
-500.006 	-0.000419382 	
-600.003 	-0.000411831 	
-700.009 	-0.000406539 	
-800.006 	-0.0003991 	
-900.003 	-0.000393113 	
-1000 	-0.000387383 	
-899.998 	-0.000388243 	
-799.999 	-0.000387557 	
-700.002 	-0.000387701 	
-600.002 	-0.00038996 	
-499.999 	-0.000389089 	
-424.996 	-0.000389904 	
-350.002 	-0.000389524 	
-274.998 	-0.000391145 	
-199.998 	-0.000390244 	
-174.997 	-0.000389008 	
-149.999 	-0.00038663 	
-124.996 	-0.000384513 	
-99.9976 	-0.0003845 	
-75.0005 	-0.000381513 	
-50.0014 	-0.000380795 	
-24.9994 	-0.00038046 	
 0.00287157 	-0.000379281 	
 24.9977 	-0.000370051 	
 50.0006 	-0.000368298 	
 75.0008 	-0.000367492 	
 99.9993 	-0.000354007 	
 125.003 	-0.000176719 	
 149.998 	-0.000141061 	
 175.003 	-0.000119119 	
 200.006 	-0.000109608 	
 275.001 	-0.000110021 	
 350.005 	-0.00011247 	
 425.004 	-0.000113056 	
 500.003 	-0.000112054 	
 600.003 	-0.000116309 	
 700.005 	-0.000118525 	
 800.01 	-0.000120777 	
 900.002 	-0.000124056 	
 1000 	-0.000125901 	

	
	
