Start Time:  03/25/2022 11:15:14 AM       Time Completed:  03/25/2022 11:31:45 AM   Elapsed Time:  00:16:30
Sample ID:     HK021-Cap_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#4.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#4.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#4.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.0000293648 	
 900 	-0.0000250931 	
 800.004 	-0.0000193426 	
 699.995 	-0.0000161528 	
 599.998 	-0.0000138064 	
 499.997 	-0.00000953553 	
 425 	-0.00000584358 	
 349.996 	-0.00000440112 	
 275 	-0.00000126181 	
 199.997 	 0.0000010399 	
 174.999 	 0.00000396921 	
 150 	 0.00000250377 	
 124.996 	 0.00000609689 	
 99.9983 	 0.00000540283 	
 74.9979 	 0.00000597392 	
 49.9976 	 0.00000733911 	
 25.0002 	 0.00000864018 	
-0.000173029 	 0.0000092226 	
-25.0012 	 0.00000272564 	
-50.0021 	 0.00000301962 	
-75.0024 	 0.00000252405 	
-100.001 	-0.0000192757 	
-125 	-0.000188834 	
-150.001 	-0.000220953 	
-175.002 	-0.000242267 	
-200.001 	-0.000248827 	
-275.002 	-0.000245871 	
-350.005 	-0.000242601 	
-424.998 	-0.00024102 	
-500.006 	-0.000236982 	
-600.006 	-0.000233887 	
-700.001 	-0.000230973 	
-800.003 	-0.000227474 	
-900.008 	-0.000222469 	
-1000.01 	-0.000218199 	
-900.003 	-0.000221632 	
-800.003 	-0.000225214 	
-699.996 	-0.000228319 	
-599.997 	-0.000230881 	
-500.004 	-0.000234514 	
-424.997 	-0.000236271 	
-350 	-0.000239901 	
-274.995 	-0.00024119 	
-199.999 	-0.000243422 	
-174.998 	-0.000244067 	
-149.996 	-0.000244946 	
-125 	-0.00024528 	
-99.9975 	-0.000246472 	
-74.9987 	-0.00024527 	
-49.9979 	-0.000245625 	
-24.9964 	-0.00024586 	
 0.00370439 	-0.000246431 	
 25.0014 	-0.000239337 	
 49.9987 	-0.00023768 	
 75.0011 	-0.000237475 	
 100.006 	-0.000225831 	
 125 	-0.0000485493 	
 149.997 	-0.0000156928 	
 175.002 	 0.00000861714 	
 200 	 0.0000154345 	
 275.001 	 0.0000138726 	
 350.001 	 0.0000133297 	
 425.001 	 0.0000105963 	
 499.999 	 0.00000883808 	
 600.003 	 0.00000564939 	
 700.004 	 0.00000220467 	
 800.002 	-0.00000199936 	
 900.004 	-0.00000422086 	
 1000.01 	-0.00000594316 	

	
	
