Start Time:  03/25/2022 11:31:50 AM       Time Completed:  03/25/2022 11:47:48 AM   Elapsed Time:  00:15:57
Sample ID:     HK021-Cap_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#5.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#5.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#5.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.00000736367 	
 900 	-0.00000341515 	
 799.996 	 0.00000140821 	
 699.995 	 0.00000423134 	
 600 	 0.00000671351 	
 500 	 0.0000112289 	
 424.999 	 0.0000142731 	
 349.999 	 0.0000176854 	
 274.998 	 0.0000187067 	
 199.995 	 0.0000240394 	
 175.001 	 0.0000242396 	
 150.002 	 0.0000235759 	
 125 	 0.0000266591 	
 100 	 0.0000279121 	
 75.0012 	 0.0000283998 	
 49.9976 	 0.000028905 	
 24.9962 	 0.0000294769 	
 0.00285701 	 0.0000296975 	
-25.0025 	 0.0000229082 	
-49.999 	 0.0000230671 	
-75.0011 	 0.0000229754 	
-100.003 	 0.00000191943 	
-125.002 	-0.000169519 	
-150.001 	-0.000200522 	
-175.002 	-0.000221965 	
-200 	-0.000228174 	
-275.005 	-0.000226496 	
-350 	-0.00022555 	
-425.001 	-0.000221539 	
-500.001 	-0.000218801 	
-600.003 	-0.000214214 	
-700.002 	-0.000210919 	
-799.997 	-0.000205895 	
-900.006 	-0.000203868 	
-1000.01 	-0.000200071 	
-900.004 	-0.00020417 	
-799.998 	-0.00020621 	
-699.999 	-0.000210165 	
-599.998 	-0.000213029 	
-499.999 	-0.000216557 	
-424.999 	-0.000217858 	
-350.001 	-0.000220296 	
-274.997 	-0.00022394 	
-199.996 	-0.000224603 	
-174.994 	-0.000224882 	
-149.995 	-0.000225427 	
-125.001 	-0.000226001 	
-99.9978 	-0.000227435 	
-74.9981 	-0.000227335 	
-49.9973 	-0.000228655 	
-25.0002 	-0.000228018 	
-0.000583602 	-0.00022824 	
 25.0029 	-0.000220458 	
 50.0009 	-0.000220928 	
 74.9997 	-0.000219827 	
 100.001 	-0.000205973 	
 125.003 	-0.0000302185 	
 150.002 	 0.00000314125 	
 174.999 	 0.000025723 	
 200 	 0.0000332919 	
 274.998 	 0.0000327881 	
 350.004 	 0.000030395 	
 425.003 	 0.0000288002 	
 500.002 	 0.0000252006 	
 600.002 	 0.0000238783 	
 700.003 	 0.0000202736 	
 800.003 	 0.0000147204 	
 900.007 	 0.000011931 	
 1000.01 	 0.0000104192 	

	
	
