Start Time:  03/25/2022 9:36:00 AM        Time Completed:  03/25/2022 9:51:54 AM    Elapsed Time:  00:15:54
Sample ID:     HK021_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.000240784 	
 899.999 	-0.00023726 	
 800.001 	-0.000234275 	
 699.997 	-0.000233741 	
 600.001 	-0.000230878 	
 500.001 	-0.00023656 	
 425.001 	-0.000238251 	
 349.998 	-0.000241333 	
 274.999 	-0.000248302 	
 199.999 	-0.00025688 	
 175 	-0.000258545 	
 149.998 	-0.000261593 	
 124.99 	-0.000264047 	
 99.9999 	-0.000266001 	
 74.9962 	-0.000270038 	
 49.9992 	-0.00027216 	
 25.0006 	-0.000273564 	
-0.0043862 	-0.000279536 	
-25.0017 	-0.00028834 	
-50.0031 	-0.000290989 	
-75.0006 	-0.000293256 	
-100.002 	-0.000298265 	
-124.996 	-0.000299592 	
-150.003 	-0.000302171 	
-174.999 	-0.000305564 	
-199.998 	-0.000308447 	
-275.003 	-0.000321039 	
-350.006 	-0.000332219 	
-425.007 	-0.00033785 	
-500.003 	-0.000341535 	
-600.001 	-0.000344341 	
-700.004 	-0.000346433 	
-800.004 	-0.000344812 	
-900.007 	-0.000344173 	
-1000.01 	-0.000340419 	
-900.002 	-0.000339861 	
-800 	-0.000339345 	
-699.999 	-0.000335977 	
-599.996 	-0.0003326 	
-499.998 	-0.00032672 	
-425.001 	-0.000320271 	
-349.997 	-0.000313627 	
-274.996 	-0.000302542 	
-199.996 	-0.000290847 	
-175.002 	-0.000286691 	
-149.997 	-0.000281425 	
-124.997 	-0.00027538 	
-100.002 	-0.000269908 	
-74.9988 	-0.000264771 	
-49.9985 	-0.000257357 	
-24.9972 	-0.000252183 	
 0.000123856 	-0.000245752 	
 25.004 	-0.000234793 	
 50.0053 	-0.000226486 	
 75.0031 	-0.000220415 	
 100.003 	-0.00021442 	
 125.003 	-0.000208144 	
 150.004 	-0.000202568 	
 174.999 	-0.000197154 	
 200 	-0.000191208 	
 275.001 	-0.000175882 	
 350.001 	-0.000163051 	
 425 	-0.000153431 	
 500.004 	-0.000147647 	
 600.005 	-0.000141528 	
 700 	-0.000139046 	
 800.006 	-0.00013456 	
 900.006 	-0.000135477 	
 1000.01 	-0.000135162 	

	
	
