Start Time:  03/25/2022 10:39:18 AM       Time Completed:  03/25/2022 10:55:11 AM   Elapsed Time:  00:15:52
Sample ID:     HK021-Cap_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.000123855 	
 899.998 	-0.000117965 	
 799.999 	-0.000113244 	
 700 	-0.000109432 	
 600 	-0.000104992 	
 500.001 	-0.000101262 	
 424.999 	-0.0000979688 	
 350.001 	-0.0000933939 	
 274.996 	-0.0000902698 	
 199.995 	-0.0000883714 	
 174.999 	-0.0000871981 	
 149.998 	-0.0000846472 	
 124.998 	-0.000081969 	
 99.9968 	-0.0000820412 	
 74.9979 	-0.0000790975 	
 50.0052 	-0.0000772286 	
 25.0016 	-0.0000766066 	
-0.00473571 	-0.000075695 	
-24.9994 	-0.0000819829 	
-50.0011 	-0.0000798509 	
-75.0007 	-0.0000802807 	
-100.002 	-0.000102827 	
-125.003 	-0.000271878 	
-150.003 	-0.000302381 	
-175.001 	-0.000323814 	
-200.004 	-0.000329529 	
-275.003 	-0.00032669 	
-350.002 	-0.000322928 	
-425.004 	-0.00032104 	
-499.997 	-0.000316473 	
-600.003 	-0.000313576 	
-700.005 	-0.000308811 	
-800.003 	-0.000305321 	
-899.997 	-0.000301001 	
-1000.01 	-0.000296105 	
-900.001 	-0.000298504 	
-800.001 	-0.000301562 	
-700.003 	-0.000304207 	
-599.996 	-0.000307383 	
-499.997 	-0.000310114 	
-425.001 	-0.000310814 	
-349.997 	-0.000314587 	
-274.999 	-0.000316907 	
-199.998 	-0.000317042 	
-174.997 	-0.00031733 	
-150.001 	-0.00031713 	
-125.002 	-0.000318361 	
-99.9968 	-0.000317146 	
-74.9992 	-0.000317396 	
-49.9976 	-0.000318482 	
-24.9981 	-0.000316474 	
 0.0029607 	-0.000316361 	
 25.0014 	-0.000309982 	
 50.0037 	-0.000308548 	
 75.0059 	-0.000307415 	
 100.002 	-0.000295302 	
 125.004 	-0.000118555 	
 150.002 	-0.0000840313 	
 175.002 	-0.0000605913 	
 200.001 	-0.0000526267 	
 275.003 	-0.0000537035 	
 350.003 	-0.0000537598 	
 425.004 	-0.0000566976 	
 500.005 	-0.0000592872 	
 600.002 	-0.0000622051 	
 700.005 	-0.0000636616 	
 800.001 	-0.000068939 	
 900.001 	-0.0000695463 	
 1000 	-0.0000728266 	

	
	
