Start Time:  03/10/2022 10:38:12 AM       Time Completed:  03/10/2022 10:54:10 AM   Elapsed Time:  00:15:57
Sample ID:     HK018_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.000187888 	
 900.001 	 0.000190378 	
 799.999 	 0.000193917 	
 699.996 	 0.000198193 	
 600 	 0.000198245 	
 499.996 	 0.000202931 	
 424.997 	 0.000206026 	
 349.997 	 0.000206909 	
 274.998 	 0.000209668 	
 200.003 	 0.000212306 	
 175.001 	 0.000212547 	
 149.998 	 0.000214196 	
 125.001 	 0.000214759 	
 99.9985 	 0.000215349 	
 75 	 0.000215714 	
 50.0005 	 0.000216492 	
 25.0002 	 0.000216372 	
-0.00270858 	 0.000216853 	
-25.0013 	 0.000216945 	
-50.0038 	 0.00019821 	
-75.0035 	 0.000198626 	
-100.002 	-0.0000143247 	
-124.998 	-0.0000647252 	
-150 	-0.0000918766 	
-175 	-0.000115265 	
-200.004 	-0.000121887 	
-275.001 	-0.000121855 	
-350 	-0.000118119 	
-425.005 	-0.000118111 	
-500.004 	-0.000113725 	
-600.004 	-0.00011096 	
-700.005 	-0.000108292 	
-800.003 	-0.000103366 	
-900.005 	-0.00010087 	
-1000.01 	-0.0000987391 	
-900.003 	-0.0000996113 	
-800.001 	-0.000104999 	
-700.001 	-0.000107177 	
-599.999 	-0.000108808 	
-500.002 	-0.000110664 	
-424.999 	-0.000112619 	
-349.997 	-0.000115294 	
-274.991 	-0.000117951 	
-199.999 	-0.0001196 	
-174.998 	-0.000119498 	
-149.998 	-0.000119999 	
-124.997 	-0.000120302 	
-99.9975 	-0.000120702 	
-74.9974 	-0.000120135 	
-49.9972 	-0.000121091 	
-24.9989 	-0.000122347 	
 0.00199056 	-0.00012118 	
 25.0016 	-0.000119064 	
 50.0017 	-0.0000994312 	
 74.9983 	-0.000100073 	
 99.9998 	 0.000102104 	
 125.002 	 0.000158334 	
 150.002 	 0.000190161 	
 175.002 	 0.000212952 	
 199.999 	 0.000221733 	
 275.003 	 0.000219989 	
 350.003 	 0.000219246 	
 425.002 	 0.000217469 	
 500.002 	 0.000214995 	
 600.006 	 0.000213501 	
 700.007 	 0.000209467 	
 800 	 0.000207498 	
 900.002 	 0.000203176 	
 1000.01 	 0.000202441 	

	
	
