Start Time:  03/10/2022 9:51:40 AM        Time Completed:  03/10/2022 10:07:33 AM   Elapsed Time:  00:15:52
Sample ID:     HK017_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.0000890393 	
 900 	 0.0000877932 	
 799.996 	 0.0000869974 	
 699.997 	 0.0000828647 	
 599.995 	 0.0000803407 	
 499.997 	 0.0000781762 	
 424.997 	 0.000078058 	
 349.998 	 0.0000762362 	
 275.001 	 0.0000739759 	
 199.994 	 0.0000717349 	
 174.999 	 0.0000707547 	
 150 	 0.0000699609 	
 125 	 0.0000704072 	
 99.9979 	 0.0000680854 	
 74.9967 	 0.0000678134 	
 49.9964 	 0.0000668038 	
 24.9956 	 0.0000651912 	
 0.000161238 	 0.000061197 	
-25.0056 	 0.0000556805 	
-49.9984 	 0.0000539795 	
-74.9986 	 0.0000525805 	
-100.002 	 0.0000512172 	
-125.007 	 0.0000507985 	
-150.001 	 0.0000478792 	
-175.006 	 0.000048301 	
-200.004 	 0.0000483857 	
-275.006 	 0.0000458711 	
-350 	 0.0000437435 	
-425 	 0.000041512 	
-500.003 	 0.0000393866 	
-600.005 	 0.0000370629 	
-700.003 	 0.0000337906 	
-800.005 	 0.0000317298 	
-900.005 	 0.0000299756 	
-1000 	 0.0000281712 	
-900.003 	 0.000029728 	
-799.997 	 0.0000334973 	
-700.001 	 0.0000363857 	
-600 	 0.0000394177 	
-499.999 	 0.0000406823 	
-424.998 	 0.0000428295 	
-349.998 	 0.000043085 	
-274.995 	 0.0000472732 	
-199.998 	 0.0000489764 	
-174.999 	 0.0000483543 	
-150 	 0.000052078 	
-125.002 	 0.0000536731 	
-100.005 	 0.0000539449 	
-74.9998 	 0.0000559087 	
-49.998 	 0.0000570657 	
-24.9985 	 0.0000596379 	
 0.00256357 	 0.0000636985 	
 25.0028 	 0.0000680638 	
 50.0012 	 0.000070867 	
 75.004 	 0.0000736971 	
 99.9994 	 0.0000749318 	
 125.001 	 0.0000775313 	
 149.999 	 0.000077304 	
 174.998 	 0.0000789342 	
 200.001 	 0.0000775677 	
 275.001 	 0.0000829703 	
 350.001 	 0.0000853764 	
 425.003 	 0.0000887136 	
 500.001 	 0.0000897598 	
 600.01 	 0.0000914832 	
 700.002 	 0.0000949804 	
 800.002 	 0.0000971248 	
 900.004 	 0.0000999765 	
 1000 	 0.000102176 	

	
	
