Start Time:  03/10/2022 9:35:00 AM        Time Completed:  03/10/2022 9:50:55 AM    Elapsed Time:  00:15:55
Sample ID:     HK017_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220310_HK017_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.05 	 0.0000792888 	
 900.001 	 0.0000730328 	
 799.998 	 0.0000704629 	
 700.001 	 0.0000667853 	
 599.997 	 0.0000660125 	
 499.996 	 0.0000628205 	
 424.996 	 0.0000636602 	
 350.001 	 0.000061597 	
 274.999 	 0.0000579904 	
 200.003 	 0.0000568229 	
 175.001 	 0.0000558577 	
 149.998 	 0.0000560796 	
 124.999 	 0.000054124 	
 99.9949 	 0.0000540801 	
 74.9986 	 0.0000513078 	
 50.0011 	 0.0000514911 	
 25.0015 	 0.0000492566 	
-0.00618381 	 0.0000460412 	
-25.0023 	 0.0000413596 	
-50.0004 	 0.0000401182 	
-75.0033 	 0.0000368907 	
-100.003 	 0.0000366742 	
-125.003 	 0.00003593 	
-150.002 	 0.0000332276 	
-175.002 	 0.0000334935 	
-199.997 	 0.0000330935 	
-275 	 0.0000291539 	
-350.001 	 0.0000294604 	
-424.999 	 0.0000269908 	
-500.005 	 0.0000246591 	
-600.005 	 0.0000241019 	
-700.006 	 0.000022364 	
-800.003 	 0.0000190428 	
-900.001 	 0.0000153518 	
-1000 	 0.0000139378 	
-900 	 0.0000160784 	
-800 	 0.0000178057 	
-700.002 	 0.0000208129 	
-600 	 0.0000247343 	
-499.997 	 0.0000272277 	
-424.998 	 0.0000271473 	
-349.998 	 0.0000304359 	
-274.996 	 0.0000319819 	
-199.999 	 0.0000363923 	
-174.997 	 0.0000373083 	
-149.998 	 0.0000376726 	
-124.999 	 0.0000381267 	
-99.9948 	 0.0000403273 	
-74.9983 	 0.0000424886 	
-49.9938 	 0.0000438363 	
-24.9942 	 0.0000454671 	
 0.00302993 	 0.0000480833 	
 25.0047 	 0.0000545441 	
 50.0049 	 0.0000569133 	
 75.0024 	 0.0000597756 	
 100.006 	 0.0000615406 	
 125.003 	 0.000063033 	
 149.999 	 0.000064604 	
 175.003 	 0.0000657284 	
 199.999 	 0.0000665079 	
 275.003 	 0.0000673947 	
 350.006 	 0.0000717527 	
 425.004 	 0.0000731387 	
 500.004 	 0.0000747708 	
 600.009 	 0.0000793332 	
 700.007 	 0.0000827209 	
 800.014 	 0.0000829204 	
 900.01 	 0.0000873809 	
 1000.01 	 0.0000891533 	

	
	
