Start Time:  04/25/2022 6:55:00 PM        Time Completed:  04/25/2022 7:17:42 PM    Elapsed Time:  00:22:42
Sample ID:     JH369-Bare_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14751.3 	-0.000109779 	
 13750 	-0.0000853117 	
 12500 	-0.0000591492 	
 11250 	-0.000027872 	
 9999.98 	-0.0000000086142 	
 8749.97 	 0.0000284328 	
 7499.96 	 0.0000662593 	
 6249.96 	 0.00009064 	
 4999.96 	 0.00012081 	
 4499.98 	 0.000135995 	
 3999.97 	 0.000149438 	
 3499.98 	 0.000161796 	
 2999.97 	 0.000177099 	
 2499.98 	 0.000189441 	
 1999.98 	 0.000199212 	
 1499.97 	 0.000213433 	
 999.973 	 0.000225651 	
 499.978 	 0.000233929 	
 437.487 	 0.000237063 	
 374.995 	 0.000238975 	
 312.491 	 0.000238812 	
 249.99 	 0.000240897 	
 187.483 	 0.00023963 	
 124.991 	 0.000239113 	
 62.4861 	 0.000239164 	
-0.00660797 	 0.000211748 	
-62.5103 	 0.0000831874 	
-125.003 	 0.0000823942 	
-187.506 	 0.0000846483 	
-250.01 	 0.0000832045 	
-312.506 	 0.0000838696 	
-375.009 	 0.0000853007 	
-437.507 	 0.0000862445 	
-500.004 	 0.0000864336 	
-1000.02 	 0.0000949953 	
-1500.03 	 0.000108504 	
-2000.03 	 0.000122276 	
-2500.03 	 0.000135823 	
-3000.04 	 0.000151093 	
-3500.04 	 0.000167072 	
-4000.04 	 0.000179926 	
-4500.03 	 0.000187447 	
-5000.04 	 0.000199141 	
-6250.05 	 0.000240565 	
-7500.05 	 0.000270884 	
-8750.04 	 0.0002984 	
-10000 	 0.000320851 	
-11250 	 0.000351259 	
-12500 	 0.000385378 	
-13750 	 0.000413166 	
-14758 	 0.000434375 	
-13750 	 0.000410508 	
-12500 	 0.000383644 	
-11250 	 0.000351525 	
-9999.99 	 0.000321419 	
-8749.97 	 0.00029829 	
-7499.96 	 0.000266579 	
-6249.95 	 0.000231783 	
-4999.96 	 0.000200317 	
-4499.97 	 0.000188266 	
-3999.97 	 0.000170371 	
-3499.99 	 0.00015833 	
-2999.98 	 0.000142716 	
-2499.97 	 0.000134408 	
-1999.98 	 0.00011868 	
-1499.98 	 0.000106082 	
-999.972 	 0.0000951143 	
-499.973 	 0.0000815919 	
-437.491 	 0.0000830198 	
-374.987 	 0.000082189 	
-312.492 	 0.0000804774 	
-249.987 	 0.0000796274 	
-187.493 	 0.0000783856 	
-124.993 	 0.0000785589 	
-62.4932 	 0.0000794079 	
 0.00815901 	 0.000100288 	
 62.5111 	 0.000235148 	
 125.008 	 0.000234625 	
 187.509 	 0.000235301 	
 250.009 	 0.000233821 	
 312.507 	 0.00023283 	
 375.008 	 0.000231759 	
 437.51 	 0.000230321 	
 500.005 	 0.000230245 	
 1000.02 	 0.000219683 	
 1500.03 	 0.000206796 	
 2000.03 	 0.000194689 	
 2500.04 	 0.000176449 	
 3000.05 	 0.000165797 	
 3500.03 	 0.000151426 	
 4000.04 	 0.000136699 	
 4500.03 	 0.000122224 	
 5000.04 	 0.000110288 	
 6250.06 	 0.0000722996 	
 7500.06 	 0.0000444936 	
 8750.05 	 0.0000122209 	
 10000 	-0.0000189688 	
 11250 	-0.0000380669 	
 12500 	-0.0000730947 	
 13750 	-0.0000997626 	
 14760.6 	-0.000123611 	

	
	
