Start Time:  04/25/2022 3:09:07 PM        Time Completed:  04/25/2022 3:30:56 PM    Elapsed Time:  00:21:48
Sample ID:     JH372-Bare_IP_2p5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH372-Bare_IP_2p5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH372-Bare_IP_2p5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH372-Bare_IP_2p5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.01 	 0.0000754244 	
 2358.82 	 0.000080835 	
 2217.65 	 0.0000829876 	
 2076.47 	 0.0000874319 	
 1935.29 	 0.000092039 	
 1794.12 	 0.0000965379 	
 1652.93 	 0.000101752 	
 1511.76 	 0.000103483 	
 1370.59 	 0.000108659 	
 1229.4 	 0.00011182 	
 1088.23 	 0.0001162 	
 947.044 	 0.000121013 	
 805.876 	 0.000124539 	
 664.691 	 0.000125653 	
 523.519 	 0.000134873 	
 382.335 	 0.000138004 	
 241.165 	 0.000139748 	
 99.9844 	 0.000144624 	
 92.5899 	 0.000143873 	
 85.1783 	 0.000144996 	
 77.7717 	 0.000144477 	
 70.3683 	 0.000146222 	
 62.9633 	 0.000148445 	
 55.5546 	 0.00014596 	
 48.1455 	 0.000145365 	
 40.7352 	 0.000144935 	
 33.326 	 0.000145662 	
 25.9238 	 0.000147326 	
 18.5095 	 0.000147838 	
 11.1093 	 0.000146871 	
 3.70153 	 0.000146344 	
-3.70896 	 0.000146037 	
-11.1107 	 0.000147119 	
-18.5182 	 0.000147829 	
-25.9308 	 0.00014659 	
-33.337 	 0.000148223 	
-40.7459 	 0.000147895 	
-48.151 	 0.000147648 	
-55.5611 	 0.000148173 	
-62.9648 	 0.000147431 	
-70.3676 	 0.000149976 	
-77.7824 	 0.000149718 	
-85.1878 	 0.000149006 	
-92.5945 	 0.000149368 	
-99.9977 	 0.000147889 	
-241.187 	 0.000152061 	
-382.358 	 0.000154908 	
-523.546 	 0.000159958 	
-664.721 	 0.000164467 	
-805.897 	 0.000168273 	
-947.073 	 0.000171608 	
-1088.25 	 0.000175351 	
-1229.43 	 0.000180827 	
-1370.6 	 0.000184155 	
-1511.79 	 0.000187885 	
-1652.96 	 0.000190853 	
-1794.14 	 0.000194933 	
-1935.31 	 0.000201069 	
-2076.49 	 0.000202867 	
-2212.95 	 0.000207844 	
-2358.85 	 0.000213947 	
-2500.02 	 0.000216606 	
-2358.81 	 0.000213754 	
-2217.65 	 0.000208497 	
-2076.47 	 0.000202668 	
-1935.29 	 0.000202409 	
-1794.11 	 0.000195311 	
-1652.93 	 0.000192369 	
-1511.76 	 0.000188906 	
-1370.58 	 0.000182967 	
-1229.4 	 0.000178614 	
-1088.23 	 0.00017719 	
-947.047 	 0.000171343 	
-805.872 	 0.00016831 	
-664.699 	 0.000164762 	
-523.52 	 0.000159846 	
-382.341 	 0.000155959 	
-241.168 	 0.000153127 	
-99.9885 	 0.000147175 	
-92.5946 	 0.000149911 	
-85.1825 	 0.00014805 	
-77.7728 	 0.000147429 	
-70.3669 	 0.000148356 	
-62.9572 	 0.000147928 	
-55.5489 	 0.000147967 	
-48.1469 	 0.000148217 	
-40.7411 	 0.00014851 	
-33.3293 	 0.000147115 	
-25.9256 	 0.000147557 	
-18.5118 	 0.000145981 	
-11.1101 	 0.000147433 	
-3.70377 	 0.000147684 	
 3.70262 	 0.000145559 	
 11.1135 	 0.000144587 	
 18.5202 	 0.000144322 	
 25.9288 	 0.0001434 	
 33.3347 	 0.000145043 	
 40.7448 	 0.000146274 	
 48.1508 	 0.000144651 	
 55.555 	 0.000145824 	
 62.9655 	 0.000145326 	
 70.3757 	 0.000144332 	
 77.7815 	 0.000143316 	
 85.1871 	 0.000145118 	
 92.593 	 0.000143681 	
 99.9992 	 0.000143866 	
 241.184 	 0.000139942 	
 382.365 	 0.000137415 	
 523.538 	 0.000133252 	
 664.718 	 0.000131114 	
 805.895 	 0.000123615 	
 947.07 	 0.000121861 	
 1088.25 	 0.000116948 	
 1229.42 	 0.000111914 	
 1370.6 	 0.000109133 	
 1511.77 	 0.000105217 	
 1652.95 	 0.000101443 	
 1794.13 	 0.0000964499 	
 1935.31 	 0.000093073 	
 2076.48 	 0.0000887827 	
 2217.67 	 0.0000847994 	
 2358.84 	 0.0000810096 	
 2500 	 0.0000765012 	

	
	
