Start Time:  04/25/2022 4:14:08 PM        Time Completed:  04/25/2022 4:35:57 PM    Elapsed Time:  00:21:48
Sample ID:     JH373-Bare_IP_2p5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_2p5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_2p5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_2p5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.02 	 0.0000783662 	
 2358.82 	 0.000085029 	
 2217.65 	 0.0000881728 	
 2076.47 	 0.0000914605 	
 1935.29 	 0.0000952869 	
 1794.11 	 0.0000979486 	
 1652.94 	 0.000103123 	
 1511.76 	 0.000107299 	
 1370.58 	 0.000111079 	
 1229.41 	 0.000112543 	
 1088.23 	 0.000118643 	
 947.049 	 0.000122815 	
 805.879 	 0.000124783 	
 664.7 	 0.000129563 	
 523.515 	 0.000133715 	
 382.34 	 0.000136525 	
 241.158 	 0.000140537 	
 99.987 	 0.000147463 	
 92.5882 	 0.000145293 	
 85.1815 	 0.000146185 	
 77.7756 	 0.000146072 	
 70.3648 	 0.000145631 	
 62.9675 	 0.000144504 	
 55.5516 	 0.000146934 	
 48.1486 	 0.000144387 	
 40.7356 	 0.000147699 	
 33.3272 	 0.00014713 	
 25.9222 	 0.000147405 	
 18.5127 	 0.000148217 	
 11.1103 	 0.000146664 	
 3.70099 	 0.000148013 	
-3.70371 	 0.000147422 	
-11.1109 	 0.000148894 	
-18.5226 	 0.000149049 	
-25.9257 	 0.000148325 	
-33.3338 	 0.000148757 	
-40.7347 	 0.00014882 	
-48.1488 	 0.0001483 	
-55.5559 	 0.000150947 	
-62.9626 	 0.000148896 	
-70.3706 	 0.000149711 	
-77.781 	 0.000150494 	
-85.1893 	 0.000150202 	
-92.5929 	 0.000150634 	
-100.001 	 0.000152036 	
-241.188 	 0.000154899 	
-382.37 	 0.000160209 	
-523.544 	 0.000165613 	
-664.729 	 0.00016822 	
-805.901 	 0.000172348 	
-947.082 	 0.000174016 	
-1088.26 	 0.000181222 	
-1229.42 	 0.000183877 	
-1370.61 	 0.000188312 	
-1511.78 	 0.000192019 	
-1652.95 	 0.00019812 	
-1794.14 	 0.000199315 	
-1935.31 	 0.000206189 	
-2076.5 	 0.000210041 	
-2217.67 	 0.000215441 	
-2358.85 	 0.000219 	
-2500.01 	 0.000222187 	
-2358.83 	 0.000217722 	
-2217.64 	 0.000214246 	
-2076.47 	 0.000210436 	
-1935.29 	 0.000205376 	
-1794.11 	 0.000202074 	
-1652.94 	 0.000198027 	
-1511.75 	 0.000192751 	
-1370.58 	 0.000190315 	
-1229.4 	 0.000184388 	
-1088.22 	 0.000181845 	
-947.057 	 0.000176697 	
-805.867 	 0.000174467 	
-664.696 	 0.000168308 	
-523.519 	 0.000162514 	
-382.344 	 0.00015852 	
-241.166 	 0.000154646 	
-99.9873 	 0.000151496 	
-92.588 	 0.000150045 	
-85.1828 	 0.000150431 	
-77.7777 	 0.000149829 	
-70.3708 	 0.000149761 	
-62.9634 	 0.00015095 	
-55.5567 	 0.000149016 	
-48.1436 	 0.000150953 	
-40.7396 	 0.000149949 	
-33.3352 	 0.000147624 	
-25.9221 	 0.000149078 	
-18.5165 	 0.000149472 	
-11.1112 	 0.000147454 	
-3.70188 	 0.000148203 	
 3.70604 	 0.000147883 	
 11.1141 	 0.000146527 	
 18.5181 	 0.000148056 	
 25.9351 	 0.000146554 	
 33.3365 	 0.000145878 	
 40.7458 	 0.000146285 	
 48.1508 	 0.000146569 	
 55.5618 	 0.000148347 	
 62.9623 	 0.000146008 	
 70.3771 	 0.00014687 	
 77.7765 	 0.000145668 	
 85.1864 	 0.000144788 	
 92.5942 	 0.000145971 	
 100.004 	 0.000146129 	
 241.185 	 0.000141846 	
 382.355 	 0.000136386 	
 523.539 	 0.000133998 	
 664.714 	 0.000128573 	
 805.892 	 0.000123317 	
 947.067 	 0.000119678 	
 1088.25 	 0.000115303 	
 1229.42 	 0.000110056 	
 1370.6 	 0.000107552 	
 1511.78 	 0.000102233 	
 1652.95 	 0.0000973765 	
 1794.13 	 0.0000951417 	
 1935.31 	 0.0000892124 	
 2076.49 	 0.0000847971 	
 2217.65 	 0.0000836279 	
 2358.84 	 0.0000763515 	
 2500.01 	 0.0000719277 	

	
	
