Start Time:  04/25/2022 11:05:00 AM       Time Completed:  04/25/2022 11:26:24 AM   Elapsed Time:  00:21:25
Sample ID:     JH371-Bare_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14752.7 	-0.000142404 	
 13750 	-0.000120442 	
 12500 	-0.0000973458 	
 11250 	-0.0000756867 	
 9999.99 	-0.0000523107 	
 8749.96 	-0.000020759 	
 7499.96 	 0.00000594481 	
 6249.96 	 0.0000299519 	
 4999.97 	 0.0000626638 	
 4499.97 	 0.0000728502 	
 3999.98 	 0.0000771742 	
 3499.97 	 0.0000908481 	
 2999.98 	 0.000101018 	
 2499.98 	 0.000112628 	
 1999.97 	 0.000125948 	
 1499.98 	 0.000134985 	
 999.968 	 0.000145269 	
 499.974 	 0.000155387 	
 437.494 	 0.000154364 	
 374.99 	 0.000155334 	
 312.488 	 0.000156713 	
 249.989 	 0.00015628 	
 187.49 	 0.000157683 	
 124.991 	 0.000159336 	
 62.4912 	 0.000159409 	
-0.00827961 	 0.000155606 	
-62.5081 	 0.000155045 	
-125.011 	 0.000156176 	
-187.51 	 0.000156795 	
-250.004 	 0.000158812 	
-312.504 	 0.000158098 	
-375.01 	 0.000160861 	
-437.512 	 0.000160431 	
-500.005 	 0.000161271 	
-1000.02 	 0.000170313 	
-1500.03 	 0.000181564 	
-2000.03 	 0.000192818 	
-2500.04 	 0.000203077 	
-3000.04 	 0.000215258 	
-3500.04 	 0.000223097 	
-4000.03 	 0.000239252 	
-4500.05 	 0.000249877 	
-5000.05 	 0.000258241 	
-6250.05 	 0.000301941 	
-7500.07 	 0.000316924 	
-8750.03 	 0.000335226 	
-10000 	 0.000365271 	
-11250 	 0.000392233 	
-12500 	 0.000419845 	
-13750 	 0.000443156 	
-14756.7 	 0.000461568 	
-13750 	 0.000439968 	
-12500 	 0.000415986 	
-11250 	 0.000389904 	
-9999.99 	 0.000360742 	
-8749.97 	 0.00032963 	
-7499.97 	 0.00031265 	
-6249.96 	 0.000283549 	
-4999.96 	 0.000256195 	
-4499.96 	 0.000243693 	
-3999.97 	 0.000234533 	
-3500 	 0.000221423 	
-2999.98 	 0.000210709 	
-2499.98 	 0.00019991 	
-1999.98 	 0.000186822 	
-1499.97 	 0.000178783 	
-999.973 	 0.000167909 	
-499.969 	 0.000156912 	
-437.488 	 0.000157968 	
-374.989 	 0.00015604 	
-312.492 	 0.000151879 	
-249.985 	 0.000152225 	
-187.487 	 0.000151456 	
-124.994 	 0.000151 	
-62.4902 	 0.000148771 	
 0.0131654 	 0.000148795 	
 62.5039 	 0.000151122 	
 125.006 	 0.000151252 	
 187.508 	 0.000149622 	
 250.004 	 0.000150003 	
 312.508 	 0.000148745 	
 375.011 	 0.00014548 	
 437.513 	 0.000145946 	
 500.013 	 0.000144402 	
 1000.02 	 0.000132272 	
 1500.03 	 0.000120561 	
 2000.03 	 0.000110336 	
 2500.03 	 0.0000967965 	
 3000.04 	 0.0000855519 	
 3500.03 	 0.0000788572 	
 4000.03 	 0.0000638602 	
 4500.04 	 0.0000557997 	
 5000.04 	 0.0000406831 	
 6250.06 	 0.0000137782 	
 7500.06 	-0.00000353395 	
 8750.05 	-0.0000394687 	
 10000 	-0.0000662612 	

	
	
