Start Time:  05/12/2022 5:12:56 PM        Time Completed:  05/12/2022 5:36:04 PM    Elapsed Time:  00:23:07
Sample ID:     JH378-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH378-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH378-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH378-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14755.3 	 0.0000481583 	
 13750 	 0.0000761705 	
 12500 	 0.000114338 	
 11250 	 0.00015446 	
 9999.98 	 0.000183419 	
 8749.96 	 0.000219631 	
 7499.96 	 0.000258366 	
 6249.96 	 0.000296868 	
 4999.97 	 0.000335467 	
 4499.97 	 0.00034529 	
 3999.97 	 0.000362911 	
 3499.97 	 0.000379461 	
 2999.97 	 0.000397274 	
 2499.97 	 0.000410369 	
 1999.97 	 0.000426089 	
 1499.97 	 0.000437832 	
 999.975 	 0.000450648 	
 499.974 	 0.000461322 	
 437.49 	 0.000462434 	
 374.993 	 0.000459953 	
 312.49 	 0.000460454 	
 249.992 	 0.000460015 	
 187.491 	 0.000457684 	
 124.993 	 0.000452662 	
 62.488 	 0.000447459 	
-0.00767037 	 0.000428796 	
-62.5069 	 0.000319607 	
-125.008 	 0.0000872974 	
-187.505 	 0.0000808639 	
-250.012 	 0.0000804179 	
-312.504 	 0.00007839 	
-375.006 	 0.0000773589 	
-437.507 	 0.0000791643 	
-500.005 	 0.0000788369 	
-1000.02 	 0.0000902112 	
-1500.03 	 0.00010318 	
-2000.03 	 0.00011964 	
-2500.03 	 0.000134063 	
-3000.04 	 0.000152366 	
-3500.04 	 0.000171378 	
-4000.05 	 0.000187233 	
-4500.03 	 0.000203293 	
-5000.04 	 0.000214241 	
-6250.07 	 0.000254996 	
-7500.06 	 0.000291236 	
-8750.04 	 0.000320972 	
-10000 	 0.000360585 	
-11250 	 0.000401597 	
-12500 	 0.000439121 	
-13750 	 0.000473873 	
-14759.7 	 0.000505779 	
-13750 	 0.000470119 	
-12500 	 0.00043425 	
-11250 	 0.000394987 	
-9999.99 	 0.000359807 	
-8749.97 	 0.000320026 	
-7499.97 	 0.000279908 	
-6249.96 	 0.000249057 	
-4999.96 	 0.000202578 	
-4499.97 	 0.000184908 	
-3999.97 	 0.00016512 	
-3499.99 	 0.000147795 	
-2999.98 	 0.000133255 	
-2499.98 	 0.000116638 	
-1999.98 	 0.000103482 	
-1499.97 	 0.0000851184 	
-999.971 	 0.0000670452 	
-499.971 	 0.0000586105 	
-437.487 	 0.0000592265 	
-374.988 	 0.0000559566 	
-312.491 	 0.0000559747 	
-249.99 	 0.0000553655 	
-187.494 	 0.0000557411 	
-124.989 	 0.0000574553 	
-62.4948 	 0.0000632609 	
 0.0122041 	 0.0000803901 	
 62.508 	 0.000176829 	
 125.009 	 0.000419594 	
 187.507 	 0.000425148 	
 250.009 	 0.000427743 	
 312.512 	 0.000427235 	
 375.011 	 0.00042444 	
 437.509 	 0.000423584 	
 500.007 	 0.000421645 	
 1000.02 	 0.000408771 	
 1500.02 	 0.00039588 	
 2000.03 	 0.000380942 	
 2500.04 	 0.000359377 	
 3000.04 	 0.000345683 	
 3500.03 	 0.000325648 	
 4000.04 	 0.00030803 	
 4500.03 	 0.000291793 	
 5000.04 	 0.000275211 	
 6250.06 	 0.000237058 	
 7500.05 	 0.000199349 	
 8750.04 	 0.000155239 	
 10000 	 0.000117242 	
 11250 	 0.0000813733 	
 12500 	 0.0000487183 	
 13750 	 0.0000104811 	
 14760.2 	-0.0000199615 	

	
	
