Start Time:  05/12/2022 6:24:11 PM        Time Completed:  05/12/2022 6:46:54 PM    Elapsed Time:  00:22:43
Sample ID:     JH379-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH379-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH379-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH379-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14755.5 	 0.0000441345 	
 13750 	 0.0000724372 	
 12500 	 0.000111611 	
 11250 	 0.000151581 	
 9999.98 	 0.000180578 	
 8749.97 	 0.00021833 	
 7499.96 	 0.000252251 	
 6249.97 	 0.000301681 	
 4999.97 	 0.000334479 	
 4499.97 	 0.000355653 	
 3999.97 	 0.000360948 	
 3499.97 	 0.00037906 	
 2999.96 	 0.000394083 	
 2499.97 	 0.000411557 	
 1999.97 	 0.000425766 	
 1499.98 	 0.000440022 	
 999.974 	 0.000451631 	
 499.972 	 0.000460345 	
 437.491 	 0.000461246 	
 374.988 	 0.000460239 	
 312.486 	 0.000457787 	
 249.988 	 0.000457205 	
 187.491 	 0.000455766 	
 124.991 	 0.000453431 	
 62.4925 	 0.000443383 	
-0.00989269 	 0.000424098 	
-62.5103 	 0.000311429 	
-125.005 	 0.0000827968 	
-187.509 	 0.000075432 	
-250.009 	 0.0000732912 	
-312.508 	 0.0000724161 	
-375.002 	 0.0000690529 	
-437.502 	 0.0000699587 	
-500.01 	 0.0000696989 	
-1000.02 	 0.0000794959 	
-1500.02 	 0.0000953698 	
-2000.03 	 0.000109735 	
-2500.04 	 0.000124737 	
-3000.04 	 0.000144961 	
-3500.03 	 0.000155675 	
-4000.04 	 0.000178943 	
-4500.05 	 0.000194436 	
-5000.03 	 0.000209987 	
-6250.06 	 0.000247689 	
-7500.05 	 0.000288477 	
-8750.04 	 0.000326857 	
-10000 	 0.000364816 	
-11250 	 0.000398723 	
-12500 	 0.000440548 	
-13750 	 0.000480082 	
-14759.3 	 0.000507937 	
-13750 	 0.000474168 	
-12500 	 0.000437672 	
-11250 	 0.000394606 	
-9999.99 	 0.000353324 	
-8749.97 	 0.000315501 	
-7499.96 	 0.000272002 	
-6249.97 	 0.000234837 	
-4999.97 	 0.000184803 	
-4499.97 	 0.000179448 	
-3999.99 	 0.000155553 	
-3499.99 	 0.000138252 	
-2999.98 	 0.000121894 	
-2499.99 	 0.000106518 	
-1999.97 	 0.0000839815 	
-1499.97 	 0.0000741878 	
-999.973 	 0.0000549248 	
-499.97 	 0.000047652 	
-437.488 	 0.000043776 	
-374.99 	 0.0000422182 	
-312.492 	 0.0000412307 	
-249.993 	 0.0000390618 	
-187.49 	 0.0000421059 	
-124.993 	 0.0000439778 	
-62.4881 	 0.0000478395 	
 0.0125914 	 0.000066044 	
 62.5088 	 0.000163912 	
 125.007 	 0.000406028 	
 187.511 	 0.000412297 	
 250.004 	 0.000413132 	
 312.507 	 0.000412314 	
 375.007 	 0.000411499 	
 437.505 	 0.000412194 	
 500.01 	 0.000409132 	
 1000.02 	 0.000397493 	
 1500.02 	 0.000384392 	
 2000.03 	 0.000360227 	
 2500.03 	 0.000343745 	
 3000.04 	 0.0003283 	
 3500.03 	 0.000308777 	
 4000.03 	 0.000292964 	
 4500.03 	 0.00026979 	
 5000.04 	 0.000261969 	
 6250.07 	 0.000215438 	
 7500.05 	 0.000166306 	
 8750.03 	 0.000139696 	
 10000 	 0.0000952933 	
 11250 	 0.0000574712 	
 12500 	 0.0000203163 	
 13750 	-0.00001953 	
 14759.5 	-0.0000481296 	

	
	
