Start Time:  05/12/2022 4:01:26 PM        Time Completed:  05/12/2022 4:18:36 PM    Elapsed Time:  00:17:10
Sample ID:     JH377-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH377-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH377-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH377-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14752.1 	 0.0000296489 	
 13750 	 0.0000621453 	
 12500 	 0.000097079 	
 11250 	 0.000138857 	
 9999.98 	 0.000174895 	
 8749.97 	 0.000219091 	
 7499.95 	 0.000244873 	
 6249.95 	 0.0002961 	
 4999.97 	 0.000331429 	
 4499.98 	 0.000346293 	
 3999.97 	 0.000363686 	
 3499.97 	 0.000382544 	
 2999.98 	 0.000394926 	
 2499.97 	 0.000411025 	
 1999.98 	 0.000429043 	
 1499.98 	 0.000447203 	
 999.972 	 0.00045799 	
 499.969 	 0.000472891 	
 437.485 	 0.00047284 	
 374.99 	 0.00047192 	
 312.49 	 0.000472441 	
 249.99 	 0.000472528 	
 187.491 	 0.000472197 	
 124.994 	 0.000470765 	
 62.4929 	 0.000465126 	
-0.00740221 	 0.000437614 	
-62.5063 	 0.00013209 	
-125.007 	 0.0000988338 	
-187.508 	 0.0000909648 	
-250.009 	 0.000087062 	
-312.513 	 0.0000870677 	
-375.007 	 0.0000867655 	
-437.506 	 0.0000859685 	
-500.007 	 0.0000854726 	
-1000.02 	 0.000100094 	
-1500.03 	 0.000117287 	
-2000.03 	 0.00013248 	
-2500.03 	 0.000149496 	
-3000.03 	 0.000167372 	
-3500.04 	 0.000183227 	
-4000.04 	 0.000204779 	
-4500.03 	 0.000216297 	
-5000.04 	 0.000230268 	
-6250.06 	 0.000281016 	
-7500.07 	 0.000315626 	
-8750.05 	 0.00034702 	
-10000 	 0.000397986 	
-11250 	 0.00043187 	
-12500 	 0.000470593 	
-13750 	 0.000507074 	
-14757.9 	 0.000535761 	
-13750 	 0.000505865 	
-12500 	 0.000465239 	
-11250 	 0.000428041 	
-9999.99 	 0.00039037 	
-8749.97 	 0.000346413 	
-7499.96 	 0.000305616 	
-6249.97 	 0.000261362 	
-4999.95 	 0.000211343 	
-4499.97 	 0.00020157 	
-3999.97 	 0.000185369 	
-3500 	 0.0001649 	
-2999.98 	 0.000146721 	
-2499.99 	 0.000128543 	
-1999.97 	 0.000114674 	
-1499.97 	 0.0000944812 	
-999.967 	 0.0000809439 	
-499.968 	 0.0000634044 	
-437.495 	 0.0000626264 	
-374.991 	 0.0000593281 	
-312.49 	 0.0000591639 	
-249.988 	 0.0000581043 	
-187.492 	 0.0000573062 	
-124.991 	 0.0000572784 	
-62.493 	 0.0000598615 	
 0.00827813 	 0.0000836539 	
 62.503 	 0.000388708 	

	
	
