Start Time:  11/13/2020 12:18:00 PM       Time Completed:  11/13/2020 12:27:45 PM   Elapsed Time:  00:09:45
Sample ID:     JH249_OOP_1p5T_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201113_JH249_OOP_1p5T_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000217025 	
 13375 	-0.000178885 	
 11750 	-0.000144835 	
 10125 	-0.000114162 	
 8499.96 	-0.0000829588 	
 6874.96 	-0.0000510525 	
 5249.96 	-0.0000257216 	
 3624.95 	 0.00000345161 	
 1999.92 	 0.0000422271 	
 1199.96 	 0.0000603904 	
 399.961 	 0.0000686887 	
-400.046 	 0.0000707645 	
-1200.05 	 0.0000743325 	
-2000.06 	 0.0000950826 	
-3625.09 	 0.000131402 	
-5250.1 	 0.000159692 	
-6875.11 	 0.000176686 	
-8500.08 	 0.000208225 	
-10125 	 0.000242817 	
-11750 	 0.000283535 	
-13375 	 0.000322253 	
-15000 	 0.000356484 	
-13375 	 0.000314415 	
-11750 	 0.000278452 	
-10125 	 0.000241921 	
-8499.95 	 0.000222634 	
-6874.96 	 0.000189409 	
-5249.97 	 0.000144518 	
-3624.94 	 0.000127607 	
-1999.98 	 0.0000827382 	
-1199.95 	 0.0000672664 	
-399.954 	 0.0000546909 	
 400.044 	 0.0000608889 	
 1200.05 	 0.0000512012 	
 2000.05 	 0.0000357679 	
 3625.06 	 0.0000012608 	
 5250.1 	-0.0000313282 	
 6875.09 	-0.0000772597 	
 8500.08 	-0.0000981068 	
 10125 	-0.000122772 	
 11750 	-0.000156605 	
 13375 	-0.000202419 	
 15000 	-0.000230388 	

	
	
