Start Time:  11/06/2020 2:56:02 PM        Time Completed:  11/06/2020 3:04:18 PM    Elapsed Time:  00:08:15
Sample ID:     JH246-Py_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH246-Py_OOP_1p5T#4.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201106_JH246-Py_OOP_1p5T#4.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201106_JH246-Py_OOP_1p5T#4.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000405618 	
 13375 	-0.000352734 	
 11750 	-0.000294409 	
 10125 	-0.000260388 	
 8499.94 	-0.000212871 	
 6874.97 	-0.000165875 	
 5249.92 	-0.000120887 	
 3624.92 	-0.0000840733 	
 1999.81 	-0.0000438183 	
 1199.94 	-0.0000326293 	
 399.939 	-0.0000473582 	
-400.065 	-0.000059822 	
-1200.06 	-0.0000771126 	
-2000.08 	-0.0000469362 	
-3625.13 	-0.0000350314 	
-5250.13 	 0.0000106921 	
-6875.17 	 0.0000530553 	
-8500.1 	 0.000126786 	
-10125.1 	 0.000133358 	
-11750 	 0.00018941 	
-13375 	 0.0002449 	
-15000 	 0.000296557 	
-13375 	 0.000247166 	
-11750 	 0.000196368 	
-10125 	 0.000164145 	
-8499.97 	 0.000100725 	
-6874.99 	 0.000058079 	
-5249.94 	 0.0000120137 	
-3624.97 	-0.0000116035 	
-1999.98 	-0.0000621451 	
-1199.95 	-0.000061397 	
-399.952 	-0.0000568514 	
 400.056 	-0.0000428068 	
 1200.06 	-0.0000243298 	
 2000.06 	-0.0000429722 	
 3625.09 	-0.0000645908 	
 5250.14 	-0.000106009 	
 6875.14 	-0.000153639 	
 8500.11 	-0.0002166 	
 10125 	-0.000210467 	
 11750 	-0.000275997 	
 13375 	-0.000329894 	
 15000 	-0.000378437 	

	
	
