Start Time:  10/07/2020 1:49:00 PM        Time Completed:  10/07/2020 1:55:48 PM    Elapsed Time:  00:06:48
Sample ID:     JH240_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH240_OOP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH240_OOP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201007_JH240_OOP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.00111199 	
 12400 	-0.000974876 	
 9799.94 	-0.000829718 	
 7199.93 	-0.000698089 	
 4599.93 	-0.000573877 	
 1999.89 	-0.000441304 	
 999.94 	-0.000387744 	
-0.0735405 	-0.000353389 	
-1000.07 	-0.000311451 	
-2000.07 	-0.000262602 	
-4600.13 	-0.000114268 	
-7200.19 	 0.0000185921 	
-9800.1 	 0.000120218 	
-12400 	 0.000264106 	
-15000 	 0.000411719 	
-12400 	 0.000267739 	
-9799.96 	 0.000123474 	
-7199.93 	 0.00000924147 	
-4599.93 	-0.000127443 	
-1999.96 	-0.000262155 	
-999.933 	-0.000298666 	
 0.0643066 	-0.000346262 	
 1000.07 	-0.000380268 	
 2000.07 	-0.000433109 	
 4600.16 	-0.000563161 	
 7200.19 	-0.000704927 	
 9800.1 	-0.000837046 	
 12400 	-0.000953382 	
 15000 	-0.00109623 	

	
	
