Start Time:  10/07/2020 3:06:00 PM        Time Completed:  10/07/2020 3:12:47 PM    Elapsed Time:  00:06:47
Sample ID:     JH244_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH244_OOP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH244_OOP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201007_JH244_OOP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000601756 	
 12400 	-0.000493915 	
 9799.97 	-0.000386872 	
 7199.92 	-0.000289083 	
 4599.93 	-0.000184568 	
 1999.85 	-0.0000893391 	
 999.934 	-0.0000467038 	
-0.0834574 	-0.0000160672 	
-1000.06 	 0.0000109885 	
-2000.08 	 0.0000446608 	
-4600.14 	 0.000141609 	
-7200.18 	 0.000241681 	
-9800.08 	 0.000363947 	
-12400 	 0.000449741 	
-15000 	 0.00055758 	
-12400 	 0.000451156 	
-9799.96 	 0.000347495 	
-7199.95 	 0.000241056 	
-4599.94 	 0.000151408 	
-1999.95 	 0.0000395624 	
-999.933 	 0.00000692717 	
 0.0750968 	-0.000029452 	
 1000.07 	-0.0000490294 	
 2000.08 	-0.0000806346 	
 4600.13 	-0.00018381 	
 7200.17 	-0.000319395 	
 9800.06 	-0.000409553 	
 12400 	-0.000489042 	
 15000 	-0.000597403 	

	
	
