Start Time:  10/07/2020 1:03:00 PM        Time Completed:  10/07/2020 1:09:47 PM    Elapsed Time:  00:06:47
Sample ID:     JH238_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH238_OOP_1p5T#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH238_OOP_1p5T#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201007_JH238_OOP_1p5T#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000970479 	
 12400 	-0.000833519 	
 9799.96 	-0.000701647 	
 7199.94 	-0.000570473 	
 4599.93 	-0.000435449 	
 1999.89 	-0.000304692 	
 999.944 	-0.000250394 	
-0.0735338 	-0.000217276 	
-1000.07 	-0.000182509 	
-2000.07 	-0.000138704 	
-4600.13 	-0.0000096299 	
-7200.19 	 0.000125088 	
-9800.08 	 0.000250089 	
-12400 	 0.00038657 	
-15000.1 	 0.000520648 	
-12400 	 0.000383857 	
-9799.92 	 0.000250333 	
-7199.94 	 0.000130089 	
-4599.94 	-0.0000143958 	
-1999.96 	-0.00013345 	
-999.933 	-0.000182067 	
 0.0632962 	-0.000221036 	
 1000.07 	-0.000259187 	
 2000.07 	-0.000301809 	
 4600.14 	-0.000418787 	
 7200.17 	-0.000560081 	
 9800.11 	-0.000701887 	
 12400 	-0.000823943 	
 15000 	-0.000954158 	

	
	
