Start Time:  10/07/2020 2:28:00 PM        Time Completed:  10/07/2020 2:34:49 PM    Elapsed Time:  00:06:49
Sample ID:     JH242_OOP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH242_OOP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20201007_JH242_OOP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_fast\Jason_1p5T_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20201007_JH242_OOP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000769755 	
 12400 	-0.000661844 	
 9799.94 	-0.000575103 	
 7199.92 	-0.000472289 	
 4599.94 	-0.000385407 	
 1999.89 	-0.000277462 	
 999.943 	-0.000236103 	
-0.0763087 	-0.000216018 	
-1000.07 	-0.000191556 	
-2000.08 	-0.000162748 	
-4600.14 	-0.0000723554 	
-7200.19 	 0.0000500206 	
-9800.08 	 0.000119678 	
-12400 	 0.000221585 	
-15000 	 0.000318925 	
-12400 	 0.000221045 	
-9799.98 	 0.000115141 	
-7199.93 	 0.0000371529 	
-4599.94 	-0.0000670784 	
-1999.95 	-0.000157057 	
-999.936 	-0.000191788 	
 0.0642393 	-0.000217415 	
 1000.07 	-0.000241531 	
 2000.07 	-0.00027743 	
 4600.13 	-0.000372014 	
 7200.2 	-0.000466398 	
 9800.1 	-0.000548579 	
 12400 	-0.000649937 	
 15000 	-0.000752695 	

	
	
