Start Time:  10/13/2021 1:57:56 PM        Time Completed:  10/13/2021 2:22:37 PM    Elapsed Time:  00:24:40
Sample ID:     Co8_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211013_Co8_OOP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.000163675 	
 13700 	 0.000192189 	
 12400 	 0.000210794 	
 11100 	 0.000225585 	
 9799.98 	 0.000225773 	
 8499.96 	 0.00023151 	
 7199.96 	 0.0002327 	
 5899.96 	 0.000239405 	
 4599.97 	 0.000237151 	
 3299.94 	 0.000240292 	
 1999.97 	 0.000247988 	
 1699.98 	 0.000246225 	
 1399.97 	 0.000244938 	
 1099.98 	 0.000246716 	
 799.98 	 0.000243916 	
 499.98 	 0.000244111 	
 449.992 	 0.000246153 	
 399.989 	 0.00024475 	
 349.989 	 0.000243992 	
 299.987 	 0.000243407 	
 249.994 	 0.000243071 	
 199.991 	 0.000238794 	
 149.992 	 0.000237352 	
 99.9899 	 0.000232056 	
 49.9952 	 0.000225616 	
-0.0112624 	 0.000216982 	
-50.0049 	 0.000203679 	
-100.005 	 0.000189267 	
-150.009 	 0.000178674 	
-200.004 	 0.000175473 	
-250.005 	 0.000171647 	
-300.002 	 0.000170067 	
-350.006 	 0.000169452 	
-400.006 	 0.000168737 	
-450.005 	 0.000167004 	
-500.006 	 0.000174285 	
-800.016 	 0.000173391 	
-1100.01 	 0.000172997 	
-1400.01 	 0.000175012 	
-1700.02 	 0.000172013 	
-2000.02 	 0.000176776 	
-3300.05 	 0.000180367 	
-4600.05 	 0.000184953 	
-5900.06 	 0.000187804 	
-7200.06 	 0.000186109 	
-8500.03 	 0.00019285 	
-9800.02 	 0.000191637 	
-11100 	 0.000192719 	
-12400 	 0.000206304 	
-13700 	 0.000225465 	
-15000 	 0.000256553 	
-13700 	 0.000227479 	
-12400 	 0.000207816 	
-11100 	 0.000192683 	
-9799.99 	 0.000190246 	
-8499.97 	 0.000187907 	
-7199.97 	 0.000184713 	
-5899.96 	 0.000182738 	
-4599.97 	 0.000183284 	
-3299.98 	 0.000177078 	
-1999.96 	 0.000177696 	
-1699.98 	 0.000174221 	
-1399.98 	 0.000172396 	
-1099.98 	 0.00017364 	
-799.981 	 0.000173883 	
-499.979 	 0.000175727 	
-449.991 	 0.000174773 	
-399.991 	 0.000174978 	
-349.998 	 0.000175785 	
-299.994 	 0.000178299 	
-249.992 	 0.00017775 	
-199.995 	 0.000180044 	
-149.995 	 0.000183285 	
-99.9932 	 0.000188099 	
-49.9928 	 0.000195671 	
 0.00597167 	 0.000204844 	
 50.0033 	 0.000216347 	
 100.006 	 0.000230258 	
 150.005 	 0.000241687 	
 200.006 	 0.000248258 	
 250.007 	 0.000249124 	
 300.005 	 0.000250516 	
 350.004 	 0.000252355 	
 400.004 	 0.000254187 	
 450.005 	 0.000253817 	
 500.006 	 0.000248491 	
 800.014 	 0.00024627 	
 1100.01 	 0.000248034 	
 1400.02 	 0.000246511 	
 1700.02 	 0.000244705 	
 2000.02 	 0.00024731 	
 3300.04 	 0.000241719 	
 4600.06 	 0.0002355 	
 5900.06 	 0.000235895 	
 7200.07 	 0.000230819 	
 8500.04 	 0.000236021 	
 9800.03 	 0.000227638 	
 11100 	 0.000225033 	
 12400 	 0.000215694 	
 13700 	 0.000197262 	
 15000 	 0.000167509 	

	
	
