Start Time:  09/24/2020 1:42:00 PM        Time Completed:  09/24/2020 1:56:10 PM    Elapsed Time:  00:14:10
Sample ID:     JH238_IP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20200924_JH238_IP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20200924_JH238_IP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20200924_JH238_IP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000112795 	
 13250 	-0.0000865855 	
 11500 	-0.0000575267 	
 9749.97 	-0.0000324208 	
 7999.97 	 0.0000018886 	
 6249.96 	 0.0000262385 	
 4499.96 	 0.000055913 	
 2749.95 	 0.0000875756 	
 999.95 	 0.000111745 	
 799.979 	 0.000116454 	
 599.981 	 0.000119081 	
 399.984 	 0.000122755 	
 199.981 	 0.000120431 	
-0.0213914 	 0.00010746 	
-200.017 	-0.0000685556 	
-400.02 	-0.0000721781 	
-600.021 	-0.0000713999 	
-800.02 	-0.0000665382 	
-1000.02 	-0.0000651785 	
-2750.05 	-0.0000362779 	
-4500.06 	 0.000000909397 	
-6250.07 	 0.000015333 	
-8000.08 	 0.0000424963 	
-9750.05 	 0.0000764916 	
-11500 	 0.000108871 	
-13250 	 0.000134462 	
-15000 	 0.000160845 	
-13250 	 0.000133848 	
-11500 	 0.00010349 	
-9749.99 	 0.0000783641 	
-7999.96 	 0.0000447198 	
-6249.96 	 0.0000184467 	
-4499.97 	-0.0000106162 	
-2749.99 	-0.0000414337 	
-999.954 	-0.000063652 	
-799.979 	-0.000068482 	
-599.973 	-0.0000702944 	
-399.982 	-0.000072047 	
-199.983 	-0.000074832 	
 0.0189091 	-0.0000598235 	
 200.018 	 0.000113981 	
 400.013 	 0.000119821 	
 600.019 	 0.000117859 	
 800.021 	 0.000116898 	
 1000.01 	 0.000112754 	
 2750.05 	 0.0000801917 	
 4500.07 	 0.0000562985 	
 6250.09 	 0.0000302335 	
 8000.07 	-0.0000110757 	
 9750.03 	-0.0000278086 	
 11500 	-0.0000606316 	
 13250 	-0.0000867212 	
 15000 	-0.000111413 	

	
	
