Start Time:  09/24/2020 3:40:00 PM        Time Completed:  09/24/2020 3:54:13 PM    Elapsed Time:  00:14:13
Sample ID:     JH242_IP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20200924JH242_IP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20200924JH242_IP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20200924JH242_IP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000147928 	
 13250 	-0.000116957 	
 11500 	-0.0000861413 	
 9749.97 	-0.0000581238 	
 7999.97 	-0.0000272055 	
 6249.97 	 0.00000412855 	
 4499.96 	 0.0000438344 	
 2749.94 	 0.0000673149 	
 999.952 	 0.000101003 	
 799.981 	 0.000105982 	
 599.979 	 0.000109957 	
 399.984 	 0.000112624 	
 199.982 	 0.0001135 	
-0.0193171 	 0.000100158 	
-200.015 	-0.0000684252 	
-400.02 	-0.0000739699 	
-600.019 	-0.0000725988 	
-800.013 	-0.0000689846 	
-1000.02 	-0.0000669847 	
-2750.05 	-0.0000332772 	
-4500.08 	 0.00000382943 	
-6250.08 	 0.0000289514 	
-8000.07 	 0.0000539145 	
-9750.04 	 0.0000945902 	
-11500 	 0.00012266 	
-13250 	 0.000155894 	
-15000 	 0.000182468 	
-13250 	 0.000151699 	
-11500 	 0.000118454 	
-9749.99 	 0.0000887815 	
-7999.95 	 0.0000588267 	
-6249.98 	 0.000027252 	
-4499.96 	-0.00000222493 	
-2749.98 	-0.0000338484 	
-999.95 	-0.0000672289 	
-799.98 	-0.0000701338 	
-599.98 	-0.0000744368 	
-399.979 	-0.0000762161 	
-199.982 	-0.0000743788 	
 0.0198471 	-0.0000651067 	
 200.019 	 0.000108209 	
 400.016 	 0.000113165 	
 600.018 	 0.000109221 	
 800.014 	 0.000107368 	
 1000.01 	 0.00010426 	
 2750.05 	 0.0000703728 	
 4500.07 	 0.0000447097 	
 6250.07 	 0.00000815128 	
 8000.08 	-0.0000287868 	
 9750.03 	-0.0000533429 	
 11500 	-0.0000825104 	
 13250 	-0.000112811 	
 15000 	-0.000140391 	

	
	
