Start Time:  09/24/2020 3:14:00 PM        Time Completed:  09/24/2020 3:28:08 PM    Elapsed Time:  00:14:08
Sample ID:     JH241_IP_1p5T

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20200924JH241_IP_1p5T#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20200924JH241_IP_1p5T#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20200924JH241_IP_1p5T#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.000246895 	
 13250 	-0.000208758 	
 11500 	-0.000168164 	
 9749.98 	-0.000125579 	
 7999.96 	-0.0000800233 	
 6249.96 	-0.0000374766 	
 4499.96 	 0.00000804535 	
 2749.96 	 0.0000482307 	
 999.958 	 0.0000914793 	
 799.979 	 0.0000971163 	
 599.978 	 0.000102908 	
 399.979 	 0.000106085 	
 199.984 	 0.000109096 	
-0.0163307 	 0.0000967844 	
-200.016 	-0.0000617093 	
-400.015 	-0.0000599647 	
-600.021 	-0.0000588404 	
-800.02 	-0.0000541855 	
-1000.02 	-0.0000474008 	
-2750.05 	-0.00000732473 	
-4500.06 	 0.0000366391 	
-6250.08 	 0.0000848931 	
-8000.06 	 0.000125479 	
-9750.04 	 0.000162888 	
-11500 	 0.000207655 	
-13250 	 0.000249978 	
-15000 	 0.000287268 	
-13250 	 0.000246363 	
-11500 	 0.000206599 	
-9749.97 	 0.000162453 	
-7999.96 	 0.000122168 	
-6249.97 	 0.0000865905 	
-4499.96 	 0.000032279 	
-2749.98 	-0.0000101288 	
-999.953 	-0.0000484737 	
-799.977 	-0.0000540572 	
-599.983 	-0.0000573985 	
-399.979 	-0.000060646 	
-199.982 	-0.0000649018 	
 0.0159183 	-0.0000533577 	
 200.019 	 0.000107296 	
 400.02 	 0.000106197 	
 600.019 	 0.000102663 	
 800.02 	 0.0000966161 	
 1000.02 	 0.0000933082 	
 2750.05 	 0.000047362 	
 4500.07 	 0.00000917526 	
 6250.09 	-0.0000344104 	
 8000.08 	-0.0000740312 	
 9750.04 	-0.000121893 	
 11500 	-0.000161265 	
 13250 	-0.000203151 	
 15000 	-0.00024284 	

	
	
