Start Time:  08/11/2021 2:56:00 PM        Time Completed:  08/11/2021 3:17:13 PM    Elapsed Time:  00:21:13
Sample ID:     JH314_HK002_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210811_JH314_HK002_IP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.001 	 0.000210829 	
 483.335 	 0.000211205 	
 466.654 	 0.000210395 	
 449.992 	 0.000211673 	
 433.327 	 0.000210141 	
 416.657 	 0.000213903 	
 399.995 	 0.000213544 	
 383.329 	 0.000211696 	
 366.67 	 0.000212688 	
 350.004 	 0.000213936 	
 333.329 	 0.000211975 	
 316.661 	 0.00021342 	
 299.998 	 0.000214021 	
 283.336 	 0.000214486 	
 266.655 	 0.000214665 	
 249.994 	 0.00021309 	
 233.323 	 0.00021516 	
 216.661 	 0.000215005 	
 199.998 	 0.000214439 	
 183.333 	 0.000213426 	
 166.663 	 0.000216618 	
 149.99 	 0.000215144 	
 133.338 	 0.000215915 	
 116.666 	 0.000215369 	
 99.9922 	 0.000214995 	
 83.3075 	 0.000213024 	
 66.6647 	 0.000214566 	
 50.012 	 0.000212853 	
 33.336 	 0.000212075 	
 16.6636 	 0.000212326 	
-0.00656984 	 0.000201805 	
-16.6699 	 0.000165435 	
-33.3406 	 0.000163417 	
-49.995 	 0.000162741 	
-66.6734 	 0.000162607 	
-83.3347 	 0.000162459 	
-99.9974 	 0.000161921 	
-116.667 	 0.000162496 	
-133.327 	 0.000163094 	
-149.994 	 0.000161534 	
-166.676 	 0.00016091 	
-183.335 	 0.000160732 	
-199.999 	 0.000162581 	
-216.659 	 0.000161462 	
-233.342 	 0.000162295 	
-249.995 	 0.000162528 	
-266.669 	 0.000163852 	
-283.34 	 0.000162537 	
-300.017 	 0.000164316 	
-316.674 	 0.000163241 	
-333.339 	 0.000163074 	
-350.007 	 0.000164292 	
-366.678 	 0.000165039 	
-383.344 	 0.00016394 	
-400.011 	 0.000166215 	
-416.67 	 0.000164768 	
-433.334 	 0.000166249 	
-450.001 	 0.000165073 	
-466.668 	 0.000166471 	
-483.331 	 0.000166244 	
-500.004 	 0.000167648 	
-483.321 	 0.000165944 	
-466.674 	 0.000166956 	
-449.996 	 0.000167014 	
-433.336 	 0.000166118 	
-416.667 	 0.000165197 	
-400.004 	 0.000164463 	
-383.35 	 0.000166014 	
-366.675 	 0.000164141 	
-350.006 	 0.000164297 	
-333.338 	 0.000162335 	
-316.666 	 0.00016228 	
-300.008 	 0.000162755 	
-283.347 	 0.000162441 	
-266.666 	 0.000162011 	
-250.001 	 0.000162907 	
-233.33 	 0.000161194 	
-216.668 	 0.000160804 	
-199.998 	 0.000160762 	
-183.333 	 0.000162071 	
-166.662 	 0.000159463 	
-150.01 	 0.000158678 	
-133.33 	 0.000160959 	
-116.664 	 0.000160904 	
-99.9887 	 0.000160135 	
-83.3382 	 0.000159798 	
-66.6714 	 0.000161404 	
-50.0135 	 0.000159879 	
-33.3263 	 0.000160379 	
-16.6734 	 0.000162482 	
 0.0064239 	 0.000165582 	
 16.6712 	 0.000207925 	
 33.3343 	 0.000208896 	
 50.0017 	 0.000210447 	
 66.6676 	 0.000211978 	
 83.3355 	 0.000210964 	
 100.014 	 0.000212408 	
 116.648 	 0.000210631 	
 133.324 	 0.000212536 	
 149.982 	 0.000211115 	
 166.661 	 0.000211411 	
 183.334 	 0.000209764 	
 199.994 	 0.000211763 	
 216.661 	 0.000210745 	
 233.327 	 0.000211012 	
 249.998 	 0.00021039 	
 266.668 	 0.000209708 	
 283.334 	 0.000209642 	
 299.991 	 0.000208032 	
 316.647 	 0.000208355 	
 333.332 	 0.000208436 	
 349.999 	 0.00020648 	
 366.669 	 0.000207277 	
 383.343 	 0.000206904 	
 400.002 	 0.000206768 	
 416.664 	 0.000205653 	
 433.332 	 0.000205524 	
 449.995 	 0.000206146 	
 466.66 	 0.00020554 	
 483.333 	 0.00020412 	
 500 	 0.00020388 	

	
	
