Start Time:  08/11/2021 2:10:00 PM        Time Completed:  08/11/2021 2:31:12 PM    Elapsed Time:  00:21:12
Sample ID:     JH313_HK001_IP_500G_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH313_HK001_IP_500G_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210811_JH313_HK001_IP_500G_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210811_JH313_HK001_IP_500G_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.993 	 0.000186923 	
 483.325 	 0.000187277 	
 466.678 	 0.000187554 	
 449.991 	 0.000187918 	
 433.33 	 0.000188961 	
 416.676 	 0.00019083 	
 399.984 	 0.000188495 	
 383.323 	 0.000190015 	
 366.669 	 0.000190654 	
 349.992 	 0.00019049 	
 333.325 	 0.00019078 	
 316.664 	 0.000191563 	
 299.997 	 0.00019077 	
 283.334 	 0.000191317 	
 266.659 	 0.000193613 	
 249.989 	 0.000193163 	
 233.329 	 0.00019436 	
 216.651 	 0.000193577 	
 199.986 	 0.000196295 	
 183.335 	 0.000194609 	
 166.651 	 0.000196664 	
 150.001 	 0.000195906 	
 133.324 	 0.000196747 	
 116.672 	 0.000198155 	
 99.9958 	 0.000199149 	
 83.3297 	 0.000196625 	
 66.6615 	 0.000199608 	
 49.9974 	 0.000197887 	
 33.3425 	 0.000198872 	
 16.6573 	 0.000196865 	
-0.00206362 	 0.000175306 	
-16.6629 	 0.000171011 	
-33.3381 	 0.00017042 	
-50.0117 	 0.000171022 	
-66.666 	 0.00017169 	
-83.3354 	 0.000170252 	
-100.003 	 0.000172682 	
-116.667 	 0.000173357 	
-133.345 	 0.000172491 	
-150.006 	 0.000174116 	
-166.679 	 0.000173298 	
-183.334 	 0.000173751 	
-200.013 	 0.000173782 	
-216.678 	 0.000173798 	
-233.333 	 0.000174616 	
-250.005 	 0.00017576 	
-266.67 	 0.000175341 	
-282.786 	 0.00017785 	
-299.997 	 0.000176532 	
-316.666 	 0.00017683 	
-333.342 	 0.00017834 	
-350.017 	 0.000178366 	
-366.68 	 0.000179287 	
-383.331 	 0.000178159 	
-400.014 	 0.000180455 	
-416.667 	 0.000181377 	
-433.331 	 0.000180194 	
-450.004 	 0.000181547 	
-466.676 	 0.000181606 	
-483.33 	 0.00018218 	
-500.005 	 0.000183686 	
-483.34 	 0.000182323 	
-466.676 	 0.000182382 	
-449.997 	 0.000181896 	
-433.332 	 0.000180901 	
-416.673 	 0.000182121 	
-399.992 	 0.000180437 	
-383.33 	 0.000179352 	
-366.684 	 0.000180155 	
-350.001 	 0.00017795 	
-333.348 	 0.000178094 	
-316.666 	 0.000177577 	
-300.011 	 0.000177331 	
-283.337 	 0.000176919 	
-266.676 	 0.000175659 	
-250.004 	 0.000175596 	
-233.347 	 0.000176186 	
-216.671 	 0.00017366 	
-200.007 	 0.000173009 	
-183.337 	 0.000174721 	
-166.681 	 0.000173417 	
-149.997 	 0.000173244 	
-133.34 	 0.000172977 	
-116.669 	 0.000172862 	
-100.005 	 0.000172109 	
-83.3332 	 0.000171924 	
-66.6717 	 0.000170493 	
-50.0047 	 0.000169693 	
-33.3351 	 0.000170758 	
-16.6686 	 0.000169899 	
 0.00317014 	 0.000173156 	
 16.6639 	 0.00019857 	
 33.3422 	 0.000198769 	
 50.0008 	 0.000200144 	
 66.6636 	 0.000197831 	
 83.3333 	 0.00019664 	
 100.009 	 0.000197268 	
 116.671 	 0.000197545 	
 133.328 	 0.000196256 	
 149.989 	 0.000197183 	
 166.661 	 0.000195477 	
 183.324 	 0.000196408 	
 200.006 	 0.000195508 	
 216.662 	 0.000193566 	
 233.325 	 0.000194032 	
 250.002 	 0.000195001 	
 266.658 	 0.000192315 	
 283.335 	 0.000192453 	
 299.995 	 0.000192805 	
 316.663 	 0.000191217 	
 333.326 	 0.000191494 	
 350.007 	 0.000191125 	
 366.659 	 0.000190404 	
 383.333 	 0.000188954 	
 399.993 	 0.000190078 	
 416.673 	 0.000187971 	
 433.33 	 0.000189808 	
 450.004 	 0.000188017 	
 466.667 	 0.000187112 	
 483.331 	 0.000186895 	
 499.998 	 0.000185622 	

	
	
