Start Time:  10/11/2021 5:12:46 PM        Time Completed:  10/11/2021 5:37:25 PM    Elapsed Time:  00:24:39
Sample ID:     Co12_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20211011_Co12_IP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	-0.00101928 	
 13700 	-0.000977046 	
 12400 	-0.000952141 	
 11100 	-0.000932888 	
 9799.99 	-0.000920643 	
 8499.98 	-0.000907663 	
 7199.97 	-0.000895353 	
 5899.96 	-0.000887686 	
 4599.95 	-0.000873389 	
 3299.96 	-0.000870143 	
 1999.96 	-0.00086049 	
 1699.98 	-0.000858649 	
 1399.97 	-0.000856516 	
 1099.98 	-0.000859791 	
 799.981 	-0.000857962 	
 499.977 	-0.000861307 	
 449.987 	-0.000863601 	
 399.993 	-0.000864465 	
 349.991 	-0.000868174 	
 299.997 	-0.00087129 	
 249.992 	-0.000877039 	
 199.995 	-0.000880947 	
 149.996 	-0.000888376 	
 99.9937 	-0.000897329 	
 49.995 	-0.000906049 	
-0.00332257 	-0.000917841 	
-50.0056 	-0.000929932 	
-100.006 	-0.000943511 	
-150.008 	-0.000957013 	
-200.006 	-0.000968689 	
-250.007 	-0.000980378 	
-300.005 	-0.000986053 	
-350.006 	-0.000990202 	
-400.003 	-0.00099235 	
-450.007 	-0.000997424 	
-500.005 	-0.001026 	
-800.011 	-0.00102843 	
-1100.02 	-0.00102778 	
-1400.02 	-0.00102803 	
-1700.02 	-0.00102728 	
-2000.02 	-0.00102433 	
-3300.04 	-0.00102393 	
-4600.06 	-0.00101255 	
-5900.07 	-0.00100495 	
-7200.05 	-0.000993198 	
-8500.05 	-0.000993682 	
-9800.03 	-0.000969819 	
-11100 	-0.000956923 	
-12400 	-0.000944213 	
-13700 	-0.000918091 	
-15000 	-0.000884699 	
-13700 	-0.000921586 	
-12400 	-0.00094676 	
-11100 	-0.000958605 	
-9799.98 	-0.00097313 	
-8499.97 	-0.000987485 	
-7199.96 	-0.000995338 	
-5899.95 	-0.00100462 	
-4599.96 	-0.001009 	
-3299.99 	-0.00101782 	
-1999.96 	-0.00102284 	
-1699.98 	-0.00102089 	
-1399.98 	-0.00102242 	
-1099.98 	-0.0010236 	
-799.983 	-0.00102078 	
-499.979 	-0.00101809 	
-449.99 	-0.00101559 	
-399.993 	-0.00101028 	
-349.995 	-0.00101031 	
-299.993 	-0.00100594 	
-249.99 	-0.000997308 	
-199.993 	-0.000992916 	
-149.991 	-0.000985479 	
-99.9922 	-0.000975103 	
-49.9939 	-0.000965058 	
 0.00882218 	-0.00095387 	
 50.0084 	-0.000940426 	
 100.006 	-0.000927422 	
 150.008 	-0.000912483 	
 200.008 	-0.00089889 	
 250.003 	-0.000886417 	
 300.005 	-0.000880014 	
 350.005 	-0.000875052 	
 400.002 	-0.000871438 	
 450.004 	-0.000869105 	
 500.006 	-0.000837195 	
 800.011 	-0.00083405 	
 1100.01 	-0.000831246 	
 1400.02 	-0.000831696 	
 1700.02 	-0.000834078 	
 2000.02 	-0.000834616 	
 3300.04 	-0.00084742 	
 4600.05 	-0.000847869 	
 5900.06 	-0.000858172 	
 7200.07 	-0.000861907 	
 8500.05 	-0.000876438 	
 9800.03 	-0.000887137 	
 11100 	-0.000901755 	
 12400 	-0.000916502 	
 13700 	-0.000942964 	
 15000 	-0.000984474 	

	
	
