Start Time:  07/12/2021 1:20:00 PM        Time Completed:  07/12/2021 1:41:07 PM    Elapsed Time:  00:21:07
Sample ID:     JH256-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH256-Co_IP_500G_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.999 	-0.000085708 	
 483.33 	-0.0000840801 	
 466.655 	-0.0000840748 	
 449.996 	-0.0000830699 	
 433.346 	-0.0000811181 	
 416.665 	-0.0000822771 	
 400.002 	-0.0000814778 	
 383.336 	-0.0000826315 	
 366.654 	-0.0000804407 	
 349.99 	-0.0000830396 	
 333.327 	-0.0000803454 	
 316.66 	-0.0000798833 	
 300.004 	-0.0000811345 	
 283.327 	-0.0000800149 	
 266.668 	-0.0000802647 	
 249.988 	-0.0000817026 	
 233.317 	-0.000081278 	
 216.661 	-0.0000808325 	
 199.992 	-0.0000809449 	
 183.333 	-0.0000821262 	
 166.665 	-0.0000824784 	
 150.004 	-0.0000827649 	
 133.333 	-0.0000823864 	
 116.665 	-0.000084892 	
 100.004 	-0.0000843072 	
 83.3247 	-0.0000849344 	
 66.6496 	-0.0000871293 	
 49.9979 	-0.0000868669 	
 33.3237 	-0.0000910748 	
 16.6609 	-0.0000946468 	
-0.00109084 	-0.000101767 	
-16.6639 	-0.000108672 	
-33.3273 	-0.000123924 	
-50.0035 	-0.000136544 	
-66.6757 	-0.000153046 	
-83.3446 	-0.000167523 	
-100.008 	-0.000197504 	
-116.664 	-0.000227917 	
-133.326 	-0.000245718 	
-150.005 	-0.000258005 	
-166.661 	-0.000262611 	
-183.34 	-0.000267233 	
-200.018 	-0.000268753 	
-216.69 	-0.000274277 	
-233.331 	-0.000275172 	
-250.004 	-0.000277482 	
-266.673 	-0.000277318 	
-283.339 	-0.00027887 	
-300.006 	-0.00027883 	
-316.671 	-0.000278956 	
-333.335 	-0.000279376 	
-349.999 	-0.000281949 	
-366.672 	-0.00027922 	
-383.33 	-0.00028247 	
-400.018 	-0.000280553 	
-416.677 	-0.000280202 	
-433.345 	-0.000279903 	
-450.01 	-0.000281593 	
-466.673 	-0.0002803 	
-483.334 	-0.000280256 	
-500.01 	-0.000278474 	
-483.35 	-0.000281089 	
-466.667 	-0.000282281 	
-449.995 	-0.000280716 	
-433.335 	-0.000280432 	
-416.666 	-0.000279837 	
-400.002 	-0.000280504 	
-383.35 	-0.000281082 	
-366.675 	-0.000283104 	
-350.011 	-0.000280241 	
-333.333 	-0.000278723 	
-316.666 	-0.000278632 	
-300.001 	-0.000281016 	
-283.339 	-0.000282101 	
-266.671 	-0.000281246 	
-249.99 	-0.000281164 	
-233.343 	-0.000281042 	
-216.671 	-0.00027934 	
-200.002 	-0.000279599 	
-183.336 	-0.00027935 	
-166.666 	-0.000279407 	
-150.007 	-0.000278646 	
-133.34 	-0.000277441 	
-116.671 	-0.000278512 	
-100.002 	-0.000275954 	
-83.3459 	-0.000274291 	
-66.6617 	-0.000273059 	
-49.9958 	-0.000271124 	
-33.3265 	-0.000268511 	
-16.6767 	-0.000265713 	
-0.00432001 	-0.000261103 	
 16.6696 	-0.000251955 	
 33.3224 	-0.000239875 	
 49.9797 	-0.000224171 	
 66.6632 	-0.000211468 	
 83.3349 	-0.000194352 	
 100.002 	-0.000170823 	
 116.659 	-0.000138324 	
 133.337 	-0.000116406 	
 150.004 	-0.000103174 	
 166.666 	-0.0000961286 	
 183.335 	-0.0000917933 	
 200.006 	-0.0000883449 	
 216.685 	-0.0000863941 	
 233.331 	-0.0000823446 	
 249.998 	-0.0000816673 	
 266.664 	-0.0000787312 	
 283.324 	-0.0000780699 	
 299.991 	-0.0000775924 	
 316.666 	-0.0000756145 	
 333.324 	-0.000075524 	
 350.006 	-0.0000783315 	
 366.657 	-0.0000753089 	
 383.336 	-0.0000749591 	
 400.001 	-0.000076207 	
 416.661 	-0.0000754193 	
 433.333 	-0.000074871 	
 449.986 	-0.0000746701 	
 466.663 	-0.0000754106 	
 483.334 	-0.0000746642 	
 499.996 	-0.0000756675 	

	
	
