Start Time:  07/12/2021 11:43:00 AM       Time Completed:  07/12/2021 12:04:06 PM   Elapsed Time:  00:21:06
Sample ID:     JH255-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.997 	-0.000179618 	
 483.318 	-0.000178561 	
 466.658 	-0.000175435 	
 450 	-0.000174783 	
 433.316 	-0.000172814 	
 416.656 	-0.00017272 	
 399.998 	-0.000171098 	
 383.331 	-0.000169779 	
 366.664 	-0.000168198 	
 350.001 	-0.000168098 	
 333.338 	-0.000164468 	
 316.663 	-0.000166406 	
 299.989 	-0.000164661 	
 283.327 	-0.000160958 	
 266.664 	-0.000162962 	
 249.999 	-0.000161412 	
 233.323 	-0.000160776 	
 216.667 	-0.000158825 	
 200.001 	-0.000159463 	
 183.33 	-0.000158567 	
 166.663 	-0.000157275 	
 149.998 	-0.000157493 	
 133.329 	-0.00015683 	
 116.662 	-0.000157731 	
 99.997 	-0.000156425 	
 83.3053 	-0.000154771 	
 66.659 	-0.000155253 	
 49.9931 	-0.000156238 	
 33.3301 	-0.000155676 	
 16.6549 	-0.000158744 	
-0.0030487 	-0.000162687 	
-16.6747 	-0.000166346 	
-33.333 	-0.000176404 	
-50.0077 	-0.000195023 	
-66.6607 	-0.000207852 	
-83.3392 	-0.000221761 	
-100.011 	-0.000251534 	
-116.685 	-0.000286306 	
-133.335 	-0.000310676 	
-150.011 	-0.000317873 	
-166.664 	-0.000320883 	
-183.34 	-0.000325786 	
-200.004 	-0.000324081 	
-216.672 	-0.000323205 	
-233.336 	-0.000325399 	
-249.999 	-0.000326132 	
-266.67 	-0.000324605 	
-283.337 	-0.000322892 	
-300.013 	-0.000324094 	
-316.676 	-0.000323016 	
-333.33 	-0.000321637 	
-350.01 	-0.000320199 	
-366.673 	-0.00032056 	
-383.343 	-0.000319821 	
-400.003 	-0.000318872 	
-416.678 	-0.000316985 	
-433.339 	-0.000316235 	
-450 	-0.000314869 	
-466.681 	-0.000313255 	
-483.326 	-0.000313362 	
-500.009 	-0.000311831 	
-483.339 	-0.000310283 	
-466.67 	-0.000312455 	
-450.003 	-0.000313855 	
-433.332 	-0.000312176 	
-416.668 	-0.000312232 	
-400.015 	-0.000313196 	
-383.339 	-0.000311123 	
-366.676 	-0.000311593 	
-350.004 	-0.000312005 	
-333.353 	-0.000313122 	
-316.665 	-0.000310489 	
-299.989 	-0.00031097 	
-283.335 	-0.000311045 	
-266.671 	-0.000312062 	
-250.011 	-0.000312635 	
-233.329 	-0.000309687 	
-216.682 	-0.000310526 	
-200.01 	-0.000310348 	
-183.345 	-0.000308846 	
-166.662 	-0.000308678 	
-150.013 	-0.000307254 	
-133.334 	-0.000309665 	
-116.68 	-0.000307134 	
-100.001 	-0.000304318 	
-83.3284 	-0.000306331 	
-66.6727 	-0.000304492 	
-50.007 	-0.000304449 	
-33.3313 	-0.00030092 	
-16.6782 	-0.000298227 	
-0.00107363 	-0.00029428 	
 16.655 	-0.000288713 	
 33.3379 	-0.000278904 	
 49.9917 	-0.000259836 	
 66.651 	-0.000248116 	
 83.3566 	-0.000232188 	
 100.002 	-0.00020927 	
 116.659 	-0.000172154 	
 133.331 	-0.000143846 	
 150.003 	-0.000128216 	
 166.669 	-0.000124313 	
 183.331 	-0.000120766 	
 200 	-0.000118256 	
 216.665 	-0.000116235 	
 233.331 	-0.000113047 	
 249.998 	-0.000114536 	
 266.671 	-0.000113118 	
 283.344 	-0.000112703 	
 300.003 	-0.000111358 	
 316.668 	-0.000111551 	
 333.332 	-0.000112144 	
 349.993 	-0.000109836 	
 366.656 	-0.000109416 	
 383.338 	-0.000109749 	
 399.99 	-0.00011151 	
 416.668 	-0.000110662 	
 433.331 	-0.00010964 	
 449.999 	-0.000109906 	
 466.674 	-0.000110174 	
 483.337 	-0.000110222 	
 500.001 	-0.000109504 	

	
	
