Start Time:  07/12/2021 9:33:03 AM        Time Completed:  07/12/2021 9:54:09 AM    Elapsed Time:  00:21:05
Sample ID:     JH257-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 500.002 	-0.0000995811 	
 483.343 	-0.0000973106 	
 466.653 	-0.000098835 	
 449.993 	-0.0000987281 	
 433.337 	-0.0000980261 	
 416.659 	-0.0000966249 	
 400.002 	-0.0000962408 	
 383.333 	-0.0000963637 	
 366.674 	-0.0000954645 	
 349.996 	-0.0000949257 	
 333.334 	-0.0000953805 	
 316.66 	-0.0000953506 	
 299.99 	-0.0000934823 	
 283.326 	-0.0000942042 	
 266.671 	-0.0000946055 	
 249.988 	-0.000094704 	
 233.328 	-0.0000945473 	
 216.674 	-0.0000934355 	
 199.986 	-0.000093627 	
 183.318 	-0.0000939226 	
 166.658 	-0.000093755 	
 149.994 	-0.0000937231 	
 133.323 	-0.0000931156 	
 116.666 	-0.0000939885 	
 100.004 	-0.0000927869 	
 83.321 	-0.0000942394 	
 66.6757 	-0.0000937431 	
 49.9876 	-0.0000956928 	
 33.3301 	-0.0000973876 	
 16.6641 	-0.000097749 	
-0.00309215 	-0.0000981826 	
-16.6586 	-0.0000989845 	
-33.3458 	-0.0000984055 	
-50.0194 	-0.0000999842 	
-66.6679 	-0.000101339 	
-83.3362 	-0.000104722 	
-100.014 	-0.000109744 	
-116.668 	-0.000118126 	
-133.337 	-0.000151973 	
-150 	-0.000197799 	
-166.679 	-0.000218706 	
-183.345 	-0.000227084 	
-199.995 	-0.000233237 	
-216.675 	-0.000234279 	
-233.334 	-0.000236954 	
-250.017 	-0.00023869 	
-266.672 	-0.000240796 	
-283.342 	-0.000241315 	
-300.017 	-0.00023938 	
-316.672 	-0.00024117 	
-333.341 	-0.000241312 	
-350.013 	-0.000240105 	
-366.666 	-0.000241018 	
-383.329 	-0.000240511 	
-400.003 	-0.000240246 	
-416.675 	-0.000238329 	
-433.341 	-0.000240301 	
-450.01 	-0.000240662 	
-466.68 	-0.000239093 	
-483.341 	-0.000242003 	
-500.007 	-0.000238482 	
-483.339 	-0.000239745 	
-466.677 	-0.000240262 	
-450 	-0.000239552 	
-433.333 	-0.00023975 	
-416.662 	-0.000239745 	
-400.012 	-0.000240674 	
-383.332 	-0.000238322 	
-366.666 	-0.000238514 	
-350.013 	-0.000241075 	
-333.339 	-0.000239592 	
-316.666 	-0.000239239 	
-300.005 	-0.000239192 	
-283.348 	-0.000238966 	
-266.67 	-0.000240631 	
-250.001 	-0.000241062 	
-233.342 	-0.000240173 	
-216.665 	-0.000238948 	
-199.992 	-0.00023936 	
-183.337 	-0.000239403 	
-166.671 	-0.000239788 	
-150.014 	-0.000239235 	
-133.343 	-0.000237937 	
-116.675 	-0.000237238 	
-100.009 	-0.000236952 	
-83.3339 	-0.000236018 	
-66.6829 	-0.000236432 	
-50.001 	-0.000234908 	
-33.3401 	-0.000233697 	
-16.6631 	-0.000233646 	
-0.00631722 	-0.000233345 	
 16.6892 	-0.000231323 	
 33.3156 	-0.000232147 	
 49.9903 	-0.000228807 	
 66.6769 	-0.000229431 	
 83.3293 	-0.000226236 	
 100.002 	-0.000221991 	
 116.662 	-0.000211161 	
 133.338 	-0.000189722 	
 150.001 	-0.000143699 	
 166.657 	-0.000113619 	
 183.343 	-0.00010254 	
 199.993 	-0.0000941066 	
 216.678 	-0.0000910597 	
 233.33 	-0.0000891693 	
 249.999 	-0.0000875873 	
 266.677 	-0.0000858058 	
 283.338 	-0.0000836738 	
 300.004 	-0.0000843522 	
 316.664 	-0.0000842408 	
 333.332 	-0.0000843331 	
 349.999 	-0.0000835374 	
 366.665 	-0.0000831635 	
 383.328 	-0.0000828937 	
 400.004 	-0.0000818572 	
 416.659 	-0.0000828529 	
 433.322 	-0.0000840842 	
 449.996 	-0.0000835111 	
 466.667 	-0.0000825786 	
 483.333 	-0.0000844083 	
 500.009 	-0.000083423 	

	
	
