Start Time:  07/12/2021 10:44:00 AM       Time Completed:  07/12/2021 11:05:06 AM   Elapsed Time:  00:21:06
Sample ID:     JH259-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH259-Co_IP_500G_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH259-Co_IP_500G_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH259-Co_IP_500G_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 500.009 	 0.0000845211 	
 483.337 	 0.0000848443 	
 466.656 	 0.0000860684 	
 450.004 	 0.0000863249 	
 433.337 	 0.0000870352 	
 416.665 	 0.0000872281 	
 399.995 	 0.0000873721 	
 383.325 	 0.0000872554 	
 366.657 	 0.0000881908 	
 349.991 	 0.000089818 	
 333.324 	 0.0000899743 	
 316.663 	 0.0000901865 	
 299.999 	 0.0000916028 	
 283.326 	 0.0000921539 	
 266.674 	 0.0000930976 	
 250.004 	 0.0000926269 	
 233.316 	 0.0000911475 	
 216.648 	 0.0000935102 	
 199.994 	 0.000092828 	
 183.315 	 0.0000941291 	
 166.668 	 0.00009345 	
 150.009 	 0.000091556 	
 133.329 	 0.0000944475 	
 116.655 	 0.0000928575 	
 100.002 	 0.0000937882 	
 83.3243 	 0.0000948796 	
 66.6712 	 0.0000930996 	
 50.0018 	 0.000093486 	
 33.3198 	 0.0000939062 	
 16.6497 	 0.0000930269 	
-0.00381723 	 0.0000898245 	
-16.6772 	 0.0000901224 	
-33.3361 	 0.0000912703 	
-50.0057 	 0.0000893101 	
-66.6729 	 0.0000851122 	
-83.3354 	 0.0000833295 	
-100.011 	 0.0000715305 	
-116.669 	 0.0000493825 	
-133.331 	 0.0000116426 	
-150.003 	-0.000016239 	
-166.671 	-0.0000329797 	
-183.344 	-0.0000379777 	
-200.014 	-0.0000426772 	
-216.657 	-0.000042408 	
-233.352 	-0.0000443244 	
-250.001 	-0.0000420107 	
-266.683 	-0.0000432689 	
-283.341 	-0.0000446268 	
-300 	-0.0000427384 	
-316.67 	-0.0000430947 	
-333.337 	-0.0000410618 	
-349.994 	-0.0000417156 	
-366.673 	-0.0000402765 	
-383.337 	-0.0000386194 	
-399.994 	-0.0000382257 	
-416.669 	-0.0000393774 	
-433.348 	-0.0000391517 	
-450.006 	-0.0000359793 	
-466.676 	-0.0000379506 	
-483.343 	-0.0000361272 	
-500.003 	-0.0000346963 	
-483.338 	-0.0000369245 	
-466.682 	-0.0000374322 	
-450.009 	-0.0000360503 	
-433.329 	-0.0000378892 	
-416.677 	-0.0000384422 	
-399.997 	-0.0000396828 	
-383.337 	-0.0000400754 	
-366.667 	-0.000039581 	
-350.001 	-0.000041009 	
-333.342 	-0.000042264 	
-316.675 	-0.0000404648 	
-299.991 	-0.0000434611 	
-283.33 	-0.000042128 	
-266.676 	-0.0000419662 	
-249.993 	-0.0000435293 	
-233.342 	-0.0000451255 	
-216.685 	-0.0000440868 	
-200.006 	-0.000045879 	
-183.327 	-0.0000462264 	
-166.677 	-0.0000452343 	
-150 	-0.0000457603 	
-133.348 	-0.0000454194 	
-116.661 	-0.0000462996 	
-99.9951 	-0.0000453101 	
-83.3367 	-0.0000443865 	
-66.6667 	-0.0000438336 	
-50.0082 	-0.0000435732 	
-33.329 	-0.0000444582 	
-16.6704 	-0.0000432634 	
 0.00742865 	-0.0000419214 	
 16.657 	-0.0000428132 	
 33.3425 	-0.000041824 	
 49.9902 	-0.0000404518 	
 66.6559 	-0.0000401386 	
 83.3713 	-0.0000347978 	
 99.9958 	-0.0000281691 	
 116.666 	-0.0000106951 	
 133.326 	 0.0000267926 	
 150.006 	 0.0000594257 	
 166.661 	 0.0000772094 	
 183.335 	 0.0000865554 	
 199.993 	 0.000089986 	
 216.662 	 0.0000901795 	
 233.33 	 0.0000904751 	
 250.007 	 0.0000925567 	
 266.666 	 0.0000918761 	
 283.334 	 0.0000919691 	
 300.008 	 0.0000900446 	
 316.669 	 0.0000909539 	
 333.325 	 0.0000917116 	
 350.002 	 0.0000906864 	
 366.675 	 0.0000908657 	
 383.33 	 0.0000886796 	
 399.998 	 0.0000876933 	
 416.669 	 0.0000883104 	
 433.318 	 0.0000868037 	
 449.995 	 0.0000867637 	
 466.671 	 0.0000844499 	
 483.325 	 0.0000856309 	
 500.005 	 0.0000850683 	

	
	
