Start Time:  07/12/2021 9:10:00 AM        Time Completed:  07/12/2021 9:31:06 AM    Elapsed Time:  00:21:06
Sample ID:     JH257-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH257-Co_IP_500G_5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 499.99 	-0.00012276 	
 483.321 	-0.000125314 	
 466.668 	-0.000123626 	
 450.007 	-0.000120978 	
 433.322 	-0.000121637 	
 416.658 	-0.000120331 	
 399.98 	-0.000118801 	
 383.337 	-0.000120728 	
 366.649 	-0.000120788 	
 349.989 	-0.000119971 	
 333.332 	-0.000117963 	
 316.666 	-0.000117898 	
 299.994 	-0.000117656 	
 283.323 	-0.000116541 	
 266.654 	-0.000118284 	
 249.994 	-0.000116177 	
 233.33 	-0.00011567 	
 216.669 	-0.000116148 	
 199.999 	-0.000117284 	
 183.326 	-0.000116761 	
 166.658 	-0.0001171 	
 150.004 	-0.000116208 	
 133.322 	-0.000117871 	
 116.662 	-0.000116992 	
 99.9909 	-0.000115505 	
 83.3117 	-0.000117176 	
 66.6667 	-0.000117986 	
 49.9904 	-0.000117154 	
 33.3318 	-0.000118321 	
 16.6769 	-0.000118967 	
 0.00892882 	-0.000119721 	
-16.6664 	-0.000118541 	
-33.3448 	-0.000120768 	
-50.0077 	-0.000122569 	
-66.6799 	-0.000122719 	
-83.3399 	-0.000125085 	
-100.002 	-0.000129583 	
-116.687 	-0.000140993 	
-133.342 	-0.000173071 	
-150.007 	-0.00021594 	
-166.671 	-0.000238654 	
-183.338 	-0.000248538 	
-200.011 	-0.000253226 	
-216.663 	-0.00025519 	
-233.337 	-0.000258984 	
-250.007 	-0.000259706 	
-266.682 	-0.000259944 	
-283.336 	-0.000261553 	
-300.012 	-0.000261218 	
-316.681 	-0.000259546 	
-333.333 	-0.000260927 	
-350.008 	-0.000261257 	
-366.671 	-0.0002616 	
-383.337 	-0.000261571 	
-400.006 	-0.000260924 	
-416.666 	-0.000261006 	
-433.344 	-0.000260946 	
-450.007 	-0.000259778 	
-466.667 	-0.000259 	
-483.337 	-0.000259489 	
-500.026 	-0.000257821 	
-483.332 	-0.000258528 	
-466.672 	-0.000257646 	
-450.002 	-0.000257974 	
-433.331 	-0.000257568 	
-416.661 	-0.000257996 	
-400.009 	-0.000258161 	
-383.333 	-0.000258264 	
-366.672 	-0.000260326 	
-350.006 	-0.000258309 	
-333.351 	-0.000260673 	
-316.681 	-0.000258528 	
-300.007 	-0.000258826 	
-283.339 	-0.00025859 	
-266.672 	-0.000257583 	
-249.994 	-0.00025934 	
-233.332 	-0.000258177 	
-216.662 	-0.000257423 	
-200.002 	-0.000258229 	
-183.335 	-0.000258005 	
-166.68 	-0.000257057 	
-150.016 	-0.000257475 	
-133.342 	-0.000257003 	
-116.665 	-0.000256199 	
-99.9991 	-0.000255785 	
-83.3501 	-0.000255072 	
-66.6762 	-0.000255092 	
-49.9972 	-0.000253939 	
-33.3305 	-0.000252456 	
-16.6576 	-0.000251943 	
-0.0185474 	-0.000251437 	
 16.6666 	-0.000249767 	
 33.3461 	-0.000247732 	
 49.9866 	-0.000247613 	
 66.6542 	-0.000246446 	
 83.3445 	-0.000245937 	
 99.9946 	-0.00024001 	
 116.659 	-0.000230252 	
 133.34 	-0.000206451 	
 149.997 	-0.000162152 	
 166.652 	-0.000132885 	
 183.333 	-0.000118444 	
 200.019 	-0.0001126 	
 216.665 	-0.000109742 	
 233.328 	-0.000107811 	
 249.991 	-0.000105777 	
 266.663 	-0.000102463 	
 283.323 	-0.000103218 	
 299.999 	-0.000101697 	
 316.681 	-0.000100897 	
 333.333 	-0.000100473 	
 349.999 	-0.000100595 	
 366.66 	-0.000100972 	
 383.328 	-0.000100704 	
 400.006 	-0.000100425 	
 416.657 	-0.00010143 	
 433.335 	-0.000101475 	
 449.999 	-0.0000998901 	
 466.656 	-0.00010209 	
 483.326 	-0.000100975 	
 500.004 	-0.000101032 	

	
	
