Start Time:  07/12/2021 12:04:15 PM       Time Completed:  07/12/2021 12:25:21 PM   Elapsed Time:  00:21:05
Sample ID:     JH255-Co_IP_500G_5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_500G\Jason_500G.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20210712_JH255-Co_IP_500G_5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 499.999 	-0.000108978 	
 483.33 	-0.000109211 	
 466.672 	-0.000107863 	
 450.001 	-0.000106395 	
 433.325 	-0.000104237 	
 416.66 	-0.000104358 	
 400.003 	-0.000103528 	
 383.329 	-0.000102695 	
 366.665 	-0.000101211 	
 349.99 	-0.000101943 	
 333.319 	-0.000102011 	
 316.667 	-0.0000990552 	
 299.988 	-0.0000999172 	
 283.329 	-0.0000981516 	
 266.652 	-0.0000971831 	
 249.99 	-0.0000959334 	
 233.331 	-0.0000967032 	
 216.661 	-0.0000965856 	
 199.997 	-0.0000953748 	
 183.327 	-0.0000950552 	
 167.225 	-0.0000948784 	
 149.988 	-0.0000940371 	
 133.315 	-0.0000940456 	
 116.645 	-0.0000926101 	
 99.989 	-0.0000927229 	
 83.3073 	-0.0000954207 	
 66.6531 	-0.0000944774 	
 50.0073 	-0.0000945597 	
 33.3156 	-0.0000964308 	
 16.6658 	-0.00009737 	
-0.00880328 	-0.000101753 	
-16.6721 	-0.000107403 	
-33.3416 	-0.000121183 	
-50.005 	-0.000135011 	
-66.6792 	-0.000148651 	
-83.3426 	-0.000164056 	
-99.9974 	-0.000191989 	
-116.667 	-0.000229312 	
-133.334 	-0.000251391 	
-150.004 	-0.00026137 	
-166.678 	-0.000263147 	
-183.33 	-0.000266978 	
-200.018 	-0.000267269 	
-216.671 	-0.000266754 	
-233.345 	-0.000268852 	
-249.998 	-0.000267064 	
-266.681 	-0.000267814 	
-283.328 	-0.000266825 	
-299.989 	-0.000268236 	
-316.671 	-0.00026954 	
-333.334 	-0.000267027 	
-350.015 	-0.000267594 	
-366.671 	-0.000266925 	
-383.341 	-0.000265202 	
-399.999 	-0.000263304 	
-416.679 	-0.000264537 	
-433.336 	-0.00026204 	
-450.014 	-0.000261771 	
-466.678 	-0.000259741 	
-483.333 	-0.000261153 	
-500.011 	-0.000259144 	
-483.34 	-0.000259836 	
-466.669 	-0.000259878 	
-449.999 	-0.000258345 	
-433.329 	-0.000261568 	
-416.676 	-0.000261638 	
-400.009 	-0.000260496 	
-383.355 	-0.000260171 	
-366.67 	-0.000260321 	
-350.003 	-0.000261768 	
-333.332 	-0.000262325 	
-316.673 	-0.000261307 	
-299.997 	-0.000260058 	
-283.327 	-0.000261615 	
-266.664 	-0.000260113 	
-249.993 	-0.000262377 	
-233.334 	-0.00026159 	
-216.667 	-0.000262062 	
-199.992 	-0.000260799 	
-183.331 	-0.000260927 	
-166.68 	-0.00026052 	
-150.004 	-0.000259893 	
-133.346 	-0.000260719 	
-116.673 	-0.000258262 	
-100.005 	-0.000259003 	
-83.3367 	-0.000258059 	
-66.6817 	-0.000254534 	
-50.0192 	-0.000254336 	
-33.332 	-0.000251865 	
-16.6802 	-0.000250418 	
 0.000419156 	-0.000248227 	
 16.6638 	-0.000242032 	
 33.3258 	-0.000231687 	
 49.9889 	-0.000214758 	
 66.6716 	-0.000199173 	
 83.34 	-0.00018704 	
 99.9948 	-0.000164072 	
 116.663 	-0.000126356 	
 133.348 	-0.0000966556 	
 149.998 	-0.0000840203 	
 166.656 	-0.0000787922 	
 183.333 	-0.0000740795 	
 200.003 	-0.000072423 	
 216.666 	-0.000070546 	
 233.335 	-0.0000704678 	
 250.002 	-0.0000718599 	
 266.665 	-0.0000700706 	
 283.327 	-0.0000688234 	
 300.003 	-0.0000691599 	
 316.656 	-0.0000686468 	
 333.322 	-0.0000668479 	
 349.997 	-0.0000670065 	
 366.667 	-0.0000683826 	
 383.316 	-0.00006978 	
 399.992 	-0.0000676625 	
 416.666 	-0.0000652025 	
 433.329 	-0.0000679626 	
 449.986 	-0.000066883 	
 466.654 	-0.0000667127 	
 483.33 	-0.0000669389 	
 499.999 	-0.0000687216 	

	
	
