Start Time:  02/25/2022 2:37:00 PM        Time Completed:  02/25/2022 2:52:41 PM    Elapsed Time:  00:15:41
Sample ID:     HK011_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_IP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.01 	 0.000271829 	
 4349.99 	 0.000290899 	
 3699.99 	 0.000308149 	
 3050 	 0.000324713 	
 2399.99 	 0.000342086 	
 1749.99 	 0.000358971 	
 1516.66 	 0.000364033 	
 1283.32 	 0.000368526 	
 1049.99 	 0.000375439 	
 816.655 	 0.000379228 	
 583.322 	 0.000384102 	
 349.991 	 0.000386372 	
 116.656 	 0.000382958 	
-116.68 	 0.000159769 	
-350.013 	 0.000154646 	
-583.346 	 0.000158767 	
-816.679 	 0.000164385 	
-1050.01 	 0.000168331 	
-1283.34 	 0.000173335 	
-1516.68 	 0.000178609 	
-1750.01 	 0.000184016 	
-2400.02 	 0.000199359 	
-3050.02 	 0.000217627 	
-3700.04 	 0.000232483 	
-4350.03 	 0.000250947 	
-5000.03 	 0.000267789 	
-4350 	 0.00025045 	
-3699.99 	 0.000233045 	
-3049.99 	 0.000214617 	
-2399.99 	 0.000198262 	
-1749.99 	 0.00018126 	
-1516.66 	 0.00017555 	
-1283.33 	 0.00016891 	
-1049.99 	 0.000164401 	
-816.66 	 0.00015816 	
-583.322 	 0.000154841 	
-349.989 	 0.000150544 	
-116.653 	 0.000152387 	
 116.678 	 0.000378445 	
 350.01 	 0.000381914 	
 583.346 	 0.00037835 	
 816.678 	 0.00037383 	
 1050.01 	 0.000369112 	
 1283.35 	 0.000364076 	
 1516.68 	 0.000357175 	
 1750.01 	 0.000351022 	
 2400.02 	 0.000334999 	
 3050.02 	 0.000317381 	
 3700.02 	 0.000299226 	
 4350.03 	 0.000282798 	
 5000.02 	 0.000266226 	

	
	
