Start Time:  02/25/2022 1:11:31 PM        Time Completed:  02/25/2022 1:19:43 PM    Elapsed Time:  00:08:11
Sample ID:     HK011_OOP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG_fast\Hannah_5kG_fast.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 4759.47 	 0.0082088 	
 4259.49 	 0.0082733 	
 3759.25 	 0.00830029 	
 3259.1 	 0.00830484 	
 2759.03 	 0.00830835 	
 2259.03 	 0.00836934 	
 1846.45 	 0.00836934 	
 1513.36 	 0.00835707 	
 1180.07 	 0.008342 	
 846.744 	 0.00836268 	
 513.287 	 0.00833744 	
 180.033 	 0.00833499 	
-153.257 	 0.00833393 	
-486.613 	 0.00835777 	
-819.928 	 0.00837775 	
-1153.26 	 0.00830905 	
-1486.54 	 0.00833884 	
-1819.88 	 0.00836408 	
-2275.23 	 0.00839703 	
-2875.03 	 0.00837985 	
-3474.98 	 0.00835321 	
-4074.92 	 0.00833989 	
-4675.21 	 0.00840439 	
-4732.81 	 0.0083753 	
-4133.64 	 0.00839282 	
-3533.33 	 0.00842612 	
-2933.19 	 0.00839422 	
-2333.02 	 0.0083767 	
-1863.92 	 0.0083753 	
-1530.91 	 0.00837775 	
-1197.61 	 0.00829678 	
-864.263 	 0.00832167 	
-530.885 	 0.00834515 	
-197.445 	 0.00839528 	
 135.762 	 0.0083788 	
 469.09 	 0.00841105 	
 802.381 	 0.00839282 	
 1135.76 	 0.00840824 	
 1469.07 	 0.00843138 	
 1802.35 	 0.00835462 	
 2256.02 	 0.00839633 	
 2855.76 	 0.00838967 	
 3455.8 	 0.00836829 	
 4055.76 	 0.0083802 	
 4655.92 	 0.00838932 	

	
	
