Start Time:  02/25/2022 11:45:00 AM       Time Completed:  02/25/2022 11:58:44 AM   Elapsed Time:  00:13:45
Sample ID:     HK011_OOP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220225_HK011_OOP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 15000 	 0.00150191 	
 13750 	 0.00150191 	
 12500 	 0.00150191 	
 11250 	 0.00150191 	
 9999.99 	 0.00150191 	
 8749.97 	 0.00150191 	
 7499.97 	 0.00150191 	
 6249.98 	 0.00150191 	
 4999.99 	 0.00150191 	
 4499.98 	 0.00150191 	
 3999.98 	 0.00150191 	
 3499.99 	 0.00150191 	
 2999.99 	 0.00150191 	
 2499.99 	 0.00150191 	
 1999.98 	 0.00150191 	
 1499.98 	 0.00150191 	
 999.98 	 0.00150191 	
 499.981 	 0.00150191 	
 399.99 	 0.00150191 	
 299.991 	 0.00150191 	
 199.995 	 0.00150191 	
 99.9901 	 0.00150191 	
-0.00769472 	 0.00150191 	
-100.008 	 0.00150191 	
-200.002 	 0.00150191 	
-300.004 	 0.00150191 	
-400.008 	 0.00150191 	
-500.003 	 0.00150191 	
-1000.02 	 0.00150191 	
-1500.02 	 0.00150191 	
-2000.02 	 0.00150191 	
-2500.02 	 0.00150191 	
-3000.02 	 0.00150191 	
-3500.02 	 0.00150191 	
-4000.03 	 0.00150191 	
-4500.03 	 0.00150191 	
-5000.03 	 0.00150191 	
-6250.04 	 0.00150191 	
-7500.04 	 0.00150191 	
-8750.02 	 0.00150191 	
-10000 	 0.00150191 	
-11250 	 0.00150191 	
-12500 	-0.000307013 	

	
	
